"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"44","M
                                                                        Miller","Boise Hawks","79","330","108","43","37","-","-","6","6","66","0.327","0.395","0.382","-","-","-","-","-","-","-","367",2021,"hitter"
"45","B
                                                                        Riley","Missoula PaddleHeads","81","323","105","46","49","-","-","5","5","58","0.325","0.414","0.372","-","-","-","-","-","-","-","372",2021,"hitter"
"46","R
                                                                        Alexiades","Ogden Raptors","51","99","32","20","13","-","-","2","2","24","0.323","0.402","0.384","-","-","-","-","-","-","-","112",2021,"hitter"
"47","T
                                                                        DeBonville","Idaho Falls Chukars","51","214","69","49","22","-","-","8","8","47","0.322","0.386","0.435","-","-","-","-","-","-","-","236",2021,"hitter"
"48","B
                                                                        Parr","Billings Mustangs","41","118","38","15","6","-","-","2","2","20","0.322","0.355","0.373","-","-","-","-","-","-","-","124",2021,"hitter"
"49","T
                                                                        Van Marter","Idaho Falls Chukars","49","189","60","38","19","-","-","1","1","28","0.317","0.38","0.333","-","-","-","-","-","-","-","208",2021,"hitter"
"50","S
                                                                        Barmakian","Idaho Falls Chukars","66","269","85","36","43","-","-","3","3","43","0.316","0.41","0.349","-","-","-","-","-","-","-","312",2021,"hitter"
"51","K
                                                                        Maldonado","Grand Junction Jackalopes","370","1014","319","182","94","-","-","30","30","192","0.315","0.373","0.403","-","-","-","-","-","-","-","1108",2021,"hitter"
"52","D
                                                                        Nevarez","Missoula PaddleHeads","46","159","50","34","21","-","-","11","11","41","0.314","0.394","0.522","-","-","-","-","-","-","-","180",2021,"hitter"
"53","J
                                                                        Raper","Great Falls Voyagers","55","179","56","40","20","-","-","10","10","47","0.313","0.382","0.48","-","-","-","-","-","-","-","199",2021,"hitter"
"54","G
                                                                        Barnes","Rocky Mountain Vibes","63","237","74","43","12","-","-","3","3","47","0.312","0.345","0.35","-","-","-","-","-","-","-","249",2021,"hitter"
"55","T
                                                                        Jorgensen","Boise Hawks","70","260","81","40","19","-","-","4","4","35","0.312","0.358","0.358","-","-","-","-","-","-","-","279",2021,"hitter"
"56","A
                                                                        Buendia","Rocky Mountain Vibes","32","106","33","6","6","-","-","1","1","15","0.311","0.348","0.34","-","-","-","-","-","-","-","112",2021,"hitter"
"57","J
                                                                        Gutierrez","Grand Junction Jackalopes","58","219","68","40","21","-","-","7","7","51","0.311","0.371","0.406","-","-","-","-","-","-","-","240",2021,"hitter"
"58","M
                                                                        OConnor","Missoula PaddleHeads","58","223","69","35","18","-","-","11","11","50","0.309","0.361","0.457","-","-","-","-","-","-","-","241",2021,"hitter"
"59","J
                                                                        Akins","Missoula PaddleHeads","80","253","78","54","38","-","-","13","13","62","0.308","0.399","0.462","-","-","-","-","-","-","-","291",2021,"hitter"
"60","M
                                                                        Deeb","Great Falls Voyagers","81","311","95","44","28","-","-","10","10","67","0.305","0.363","0.402","-","-","-","-","-","-","-","339",2021,"hitter"
"61","D
                                                                        Hubbard","Grand Junction Jackalopes","56","217","66","49","24","-","-","10","10","26","0.304","0.373","0.442","-","-","-","-","-","-","-","241",2021,"hitter"
"62","D
                                                                        Abbadessa","Ogden Raptors","30","89","27","14","10","-","-","0","0","23","0.303","0.374","0.303","-","-","-","-","-","-","-","99",2021,"hitter"
"63","R
                                                                        Martinez","Grand Junction Jackalopes","45","142","43","29","26","-","-","6","6","27","0.303","0.411","0.43","-","-","-","-","-","-","-","168",2021,"hitter"
"64","T
                                                                        Tomaka","Boise Hawks","25","43","13","5","1","-","-","2","2","7","0.302","0.318","0.442","-","-","-","-","-","-","-","44",2021,"hitter"
"65","C
                                                                        Caffrey","Ogden Raptors","36","53","16","9","7","-","-","1","1","12","0.302","0.383","0.358","-","-","-","-","-","-","-","60",2021,"hitter"
"66","K
                                                                        Stone","Billings Mustangs","31","10","3","0","1","-","-","0","0","4","0.3","0.364","0.3","-","-","-","-","-","-","-","11",2021,"hitter"
"67","V
                                                                        Esposito","Grand Junction Jackalopes","67","267","80","56","39","-","-","15","15","72","0.3","0.389","0.468","-","-","-","-","-","-","-","306",2021,"hitter"
"68","O
                                                                        Taylor","Ogden Raptors","65","182","54","37","35","-","-","4","4","58","0.297","0.41","0.363","-","-","-","-","-","-","-","217",2021,"hitter"
"69","T
                                                                        Dixon","Ogden Raptors","50","81","24","20","9","-","-","2","2","19","0.296","0.367","0.37","-","-","-","-","-","-","-","90",2021,"hitter"
"70","A
                                                                        Atwood","Great Falls Voyagers","27","88","26","12","7","-","-","0","0","22","0.295","0.347","0.295","-","-","-","-","-","-","-","95",2021,"hitter"
"71","T
                                                                        Wyatt","Idaho Falls Chukars","42","149","44","36","22","-","-","6","6","39","0.295","0.386","0.416","-","-","-","-","-","-","-","171",2021,"hitter"
"72","J
                                                                        Anderson","Grand Junction Jackalopes","47","166","49","27","22","-","-","2","2","36","0.295","0.378","0.331","-","-","-","-","-","-","-","188",2021,"hitter"
"73","T
                                                                        Reynolds","Grand Junction Jackalopes","21","41","12","5","5","-","-","0","0","11","0.293","0.37","0.293","-","-","-","-","-","-","-","46",2021,"hitter"
"74","C
                                                                        Silber","Missoula PaddleHeads","32","65","19","7","6","-","-","1","1","13","0.292","0.352","0.338","-","-","-","-","-","-","-","71",2021,"hitter"
"75","F
                                                                        Achecar","Billings Mustangs","57","178","52","31","19","-","-","3","3","42","0.292","0.36","0.343","-","-","-","-","-","-","-","197",2021,"hitter"
"75","Z
                                                                        Zurbrugg","Great Falls Voyagers","34","89","26","15","16","-","-","0","0","14","0.292","0.4","0.292","-","-","-","-","-","-","-","105",2021,"hitter"
"77","C
                                                                        Crader","Grand Junction Jackalopes","15","24","7","8","3","-","-","2","2","8","0.292","0.37","0.542","-","-","-","-","-","-","-","27",2021,"hitter"
"78","N
                                                                        Pacheco","Ogden Raptors","45","94","27","17","14","-","-","1","1","35","0.287","0.38","0.319","-","-","-","-","-","-","-","108",2021,"hitter"
"79","Q
                                                                        Alexander","Great Falls Voyagers","56","217","62","23","22","-","-","0","0","49","0.286","0.351","0.286","-","-","-","-","-","-","-","239",2021,"hitter"
"79","D
                                                                        Delorefice","Missoula PaddleHeads","27","70","20","9","12","-","-","1","1","15","0.286","0.39","0.329","-","-","-","-","-","-","-","82",2021,"hitter"
"79","K
                                                                        Hayes","Great Falls Voyagers","34","77","22","15","10","-","-","4","4","21","0.286","0.368","0.442","-","-","-","-","-","-","-","87",2021,"hitter"
"82","J
                                                                        Azuaje","Billings Mustangs","71","228","65","24","36","-","-","2","2","25","0.285","0.383","0.311","-","-","-","-","-","-","-","264",2021,"hitter"
"83","B
                                                                        Daniel","Great Falls Voyagers","37","137","39","24","17","-","-","3","3","36","0.285","0.364","0.35","-","-","-","-","-","-","-","154",2021,"hitter"
"84","T
                                                                        Brunson","Great Falls Voyagers","33","116","33","20","11","-","-","2","2","34","0.284","0.346","0.336","-","-","-","-","-","-","-","127",2021,"hitter"
"85","A
                                                                        Don","Idaho Falls Chukars","62","255","72","40","32","-","-","4","4","72","0.282","0.362","0.329","-","-","-","-","-","-","-","287",2021,"hitter"
"86","A
                                                                        Nunez","Rocky Mountain Vibes","62","221","62","18","12","-","-","1","1","49","0.281","0.318","0.294","-","-","-","-","-","-","-","233",2021,"hitter"
"87","A
                                                                        Armstrong","Ogden Raptors","62","174","48","22","18","-","-","1","1","30","0.276","0.344","0.293","-","-","-","-","-","-","-","192",2021,"hitter"
"88","S
                                                                        Jabusch","Great Falls Voyagers","126","359","99","65","66","-","-","9","9","98","0.276","0.388","0.351","-","-","-","-","-","-","-","425",2021,"hitter"
"89","E
                                                                        Rosales","Rocky Mountain Vibes","129","270","74","38","33","-","-","9","9","73","0.274","0.353","0.374","-","-","-","-","-","-","-","303",2021,"hitter"
"90","T
                                                                        Carranza","Billings Mustangs","76","258","70","41","59","-","-","13","13","83","0.271","0.407","0.422","-","-","-","-","-","-","-","317",2021,"hitter"
"91","G
                                                                        White","Boise Hawks","62","118","32","18","9","-","-","0","0","33","0.271","0.323","0.271","-","-","-","-","-","-","-","127",2021,"hitter"
"92","A
                                                                        Monge","Grand Junction Jackalopes","45","142","38","19","16","-","-","0","0","38","0.268","0.342","0.268","-","-","-","-","-","-","-","158",2021,"hitter"
"93","N
                                                                        Emanuel","Great Falls Voyagers","41","101","27","17","20","-","-","0","0","23","0.267","0.388","0.267","-","-","-","-","-","-","-","121",2021,"hitter"
"94","C
                                                                        Mink","Ogden Raptors","32","64","17","8","7","-","-","1","1","22","0.266","0.338","0.313","-","-","-","-","-","-","-","71",2021,"hitter"
"95","M
                                                                        Annone","Rocky Mountain Vibes","57","189","50","31","20","-","-","4","4","46","0.265","0.335","0.328","-","-","-","-","-","-","-","209",2021,"hitter"
"96","C
                                                                        Eusay","Missoula PaddleHeads","33","53","14","10","16","-","-","2","2","16","0.264","0.435","0.377","-","-","-","-","-","-","-","69",2021,"hitter"
"97","A
                                                                        Elder","Grand Junction Jackalopes","47","167","44","22","18","-","-","1","1","25","0.263","0.335","0.281","-","-","-","-","-","-","-","185",2021,"hitter"
"98","H
                                                                        Brown","Idaho Falls Chukars","24","80","21","18","10","-","-","2","2","20","0.263","0.344","0.338","-","-","-","-","-","-","-","90",2021,"hitter"
"99","T
                                                                        Sandoval","Grand Junction Jackalopes","18","54","14","9","4","-","-","2","2","22","0.259","0.31","0.37","-","-","-","-","-","-","-","58",2021,"hitter"
"100","B
                                                                        Perez","Rocky Mountain Vibes","70","290","75","25","13","-","-","3","3","59","0.259","0.29","0.29","-","-","-","-","-","-","-","303",2021,"hitter"
"101","D
                                                                        Cornett","Billings Mustangs","38","97","25","18","9","-","-","1","1","14","0.258","0.321","0.289","-","-","-","-","-","-","-","106",2021,"hitter"
"102","J
                                                                        Esparza","Rocky Mountain Vibes","73","253","65","38","6","-","-","5","5","70","0.257","0.274","0.316","-","-","-","-","-","-","-","259",2021,"hitter"
"103","S
                                                                        Skelly","Boise Hawks","16","47","12","7","8","-","-","2","2","14","0.255","0.364","0.383","-","-","-","-","-","-","-","55",2021,"hitter"
"104","M
                                                                        Skundrich","Billings Mustangs","67","221","56","34","27","-","-","3","3","60","0.253","0.335","0.294","-","-","-","-","-","-","-","248",2021,"hitter"
"105","C
                                                                        Tirado","Rocky Mountain Vibes","30","87","22","7","6","-","-","3","3","27","0.253","0.301","0.356","-","-","-","-","-","-","-","93",2021,"hitter"
