"rk","name","team","era","w","l","app","gs","sv","ip","h","r","er","bb","k","k_9","hr","whip","bf","wp","hbp","season","player_type"
"54","J
                                                                        Bingham","Boise Hawks","17.55","0","0","2","2","0","6.2","12","13","13","8","4","5.4","3","3.00","40","-","-",2026,"pitcher"
"55","M
                                                                        Binns","RedPocket Mobiles","21.13","0","2","5","0","0","7.2","15","19","18","12","6","7.04","4","3.52","52","3","2",2026,"pitcher"
"56","B
                                                                        Bishop","RedPocket Mobiles","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"57","J
                                                                        Bishop","Missoula PaddleHeads","12.15","0","1","6","0","0","6.2","9","11","9","8","4","5.4","3","2.55","36","1","-",2026,"pitcher"
"58","Z
                                                                        Blaszak","Great Falls Voyagers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"60","N
                                                                        Blythe","Oakland Ballers","9.72","0","0","5","0","0","8.1","16","9","9","2","0","0","1","2.16","44","-","1",2026,"pitcher"
"61","L
                                                                        Boesen","Ogden Raptors","20.77","0","1","3","3","0","8.2","24","20","20","10","4","4.15","4","3.92","59","4","-",2026,"pitcher"
"63","K
                                                                        Bow","Long Beach Coast","12","0","0","2","2","0","6","8","9","8","10","7","10.5","1","3.00","36","-","-",2026,"pitcher"
"64","K
                                                                        Bow","Idaho Falls Chukars","18.32","0","2","2","2","0","9.1","15","19","19","10","5","4.82","1","2.68","54","5","4",2026,"pitcher"
"65","C
                                                                        Bowen","Billings Mustangs","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"65","J
                                                                        Boyd","Modesto Roadsters","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"67","C
                                                                        Brinson","Missoula PaddleHeads","12.6","2","0","9","0","0","10","22","15","14","7","7","6.3","-","2.90","57","1","3",2026,"pitcher"
"68","R
                                                                        Brito","Idaho Falls Chukars","15.22","0","2","17","0","0","18.1","24","39","31","39","22","10.8","4","3.44","123","8","3",2026,"pitcher"
"69","E
                                                                        Brown","Ogden Raptors","108","0","0","1","0","0","0.1","1","4","4","4","0","0","-","15.00","7","1","1",2026,"pitcher"
"70","G
                                                                        Brown","Missoula PaddleHeads","6.75","1","0","2","0","0","5.1","9","4","4","4","2","3.38","1","2.44","28","-","-",2026,"pitcher"
"71","M
                                                                        Bryant","Idaho Falls Chukars","8.44","2","0","14","0","1","10.2","8","10","10","9","12","10.13","2","1.59","48","1","1",2026,"pitcher"
"72","C
                                                                        Bufford","Oakland Ballers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"75","N
                                                                        Burns II","Billings Mustangs","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"77","R
                                                                        Butz","Oakland Ballers","11.81","0","1","4","3","0","10.2","13","14","14","12","9","7.59","5","2.34","56","-","-",2026,"pitcher"
"78","J
                                                                        Byrd","Long Beach Coast","2.04","0","0","13","0","1","17.2","20","6","4","10","16","8.15","-","1.70","82","-","-",2026,"pitcher"
"79","M
                                                                        Byrne","Glacier Range Riders","0","0","0","2","0","0","0.1","-","-","-","3","0","0","-","9.00","5","-","1",2026,"pitcher"
"80","S
                                                                        Cabeza","Great Falls Voyagers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"81","A
                                                                        Calhoun","Billings Mustangs","1.54","1","0","10","0","0","11.2","12","4","2","4","13","10.03","1","1.37","51","1","-",2026,"pitcher"
"83","R
                                                                        Camacho","Idaho Falls Chukars","15","0","0","2","0","0","3","5","5","5","6","3","9","1","3.67","21","1","2",2026,"pitcher"
"85","B
                                                                        Cannon","Modesto Roadsters","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"85","S
                                                                        Canton","Idaho Falls Chukars","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"85","B
                                                                        Capps","Glacier Range Riders","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"88","J
                                                                        Carbone","Great Falls Voyagers","22.5","0","0","2","0","0","2","5","8","5","5","2","9","1","5.00","18","3","-",2026,"pitcher"
"89","A
                                                                        Cardenas","RedPocket Mobiles","27","0","1","2","0","0","1","3","9","3","3","1","9","-","6.00","12","-","2",2026,"pitcher"
"90","N
                                                                        Cardinal","Great Falls Voyagers","6.75","1","0","9","0","1","9.1","9","7","7","8","8","7.71","-","1.82","44","2","-",2026,"pitcher"
"91","N
                                                                        Cardinal","Modesto Roadsters","9.49","1","2","13","0","2","12.1","13","13","13","7","10","7.3","3","1.62","56","-","-",2026,"pitcher"
"92","K
                                                                        Carlson","Yuba-Sutter Freebirds","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"93","S
                                                                        Cash","Glacier Range Riders","11.25","0","0","2","1","0","4","10","7","5","5","4","9","1","3.75","26","-","-",2026,"pitcher"
"94","X
                                                                        Casserilla","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"94","C
                                                                        Castaneda","Yuba-Sutter Freebirds","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"97","W
                                                                        Castillo","Idaho Falls Chukars","9.72","0","0","2","2","0","8.1","11","10","9","5","9","9.72","3","1.92","46","1","5",2026,"pitcher"
"98","B
                                                                        Cermenelli","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"99","Z
                                                                        Chamizo","Yuba-Sutter Freebirds","15","0","0","3","0","0","3","7","5","5","2","0","0","-","3.00","18","-","-",2026,"pitcher"
"100","D
                                                                        Charron","Glacier Range Riders","8.22","1","0","3","1","0","7.2","13","7","7","4","2","2.35","-","2.22","36","-","1",2026,"pitcher"
"102","B
                                                                        Chavez","Glacier Range Riders","12","0","0","3","0","0","3","6","4","4","2","5","15","1","2.67","17","1","-",2026,"pitcher"
"103","B
                                                                        Chavez","Oakland Ballers","5.87","0","0","11","0","0","15.1","20","11","10","9","10","5.87","3","1.89","74","2","2",2026,"pitcher"
"104","J
                                                                        Chavez","RedPocket Mobiles","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"105","D
                                                                        Cheeley","Missoula PaddleHeads","8.71","0","0","9","0","2","10.1","16","14","10","12","7","6.1","2","2.71","57","2","-",2026,"pitcher"
"106","B
                                                                        Choi","Modesto Roadsters","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"109","D
                                                                        Clarke","Oakland Ballers","11.25","0","1","3","0","0","4","9","9","5","2","3","6.75","3","2.75","23","-","-",2026,"pitcher"
"110","R
                                                                        Clayton, Jr.","RedPocket Mobiles","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"110","T
                                                                        Cobb","Oakland Ballers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"110","S
                                                                        Coffman","RedPocket Mobiles","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"110","A
                                                                        Collins","Glacier Range Riders","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"115","T
                                                                        Collins","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"115","J
                                                                        Collura","Oakland Ballers","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"117","S
                                                                        Colon","Idaho Falls Chukars","38.57","0","1","2","1","0","2.1","5","10","10","5","1","3.86","1","4.29","17","-","-",2026,"pitcher"
"118","C
                                                                        Colyer","Billings Mustangs","8.8","1","1","15","0","0","15.1","29","17","15","15","23","13.5","3","2.87","89","2","-",2026,"pitcher"
"120","S
                                                                        Cooper","RedPocket Mobiles","63","0","0","3","0","0","1","2","7","7","6","0","0","-","8.00","11","-","-",2026,"pitcher"
"121","A
                                                                        Cootway","Billings Mustangs","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"121","E
                                                                        Corona","Long Beach Coast","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
"123","J
                                                                        Coronado","RedPocket Mobiles","4.91","0","0","4","0","0","3.2","4","2","2","5","2","4.91","-","2.45","19","2","-",2026,"pitcher"
"124","R
                                                                        Coronado","RedPocket Mobiles","30","0","1","5","0","0","3","10","11","10","5","3","9","-","5.00","28","1","3",2026,"pitcher"
"125","J
                                                                        Costin","Missoula PaddleHeads","0","0","0","0","0","0","0","-","-","-","-","0","0","-","-","-","-","-",2026,"pitcher"
