"rk","name","team","era","w","l","app","gs","sv","ip","h","r","er","bb","k","k_9","hr","whip","bf","wp","hbp","season","player_type"
"33","A
                                                                        Christopher","RedPocket Mobiles","7.95","0","5","8","8","0","48.2","74","48","43","7","35","6.47","11","1.66","228","2","5",2026,"pitcher"
"36","L
                                                                        Smiddy","Great Falls Voyagers","7.26","5","3","23","1","1","48.1","71","47","39","33","45","8.38","6","2.15","250","5","5",2026,"pitcher"
"37","A
                                                                        Diaz","Modesto Roadsters","7.04","2","3","15","8","0","47.1","67","47","37","16","43","8.18","12","1.75","225","1","7",2026,"pitcher"
"38","G
                                                                        VanDeventer","Long Beach Coast","5.74","4","1","9","8","0","47","65","36","30","17","37","7.09","5","1.74","217","2","3",2026,"pitcher"
"39","C
                                                                        Dayton","Boise Hawks","6.41","4","1","8","8","0","46.1","60","43","33","20","27","5.24","6","1.73","218","2","3",2026,"pitcher"
"40","J
                                                                        Schaaf","Ogden Raptors","4.5","3","1","7","7","0","46","56","24","23","15","34","6.65","4","1.54","205","2","1",2026,"pitcher"
"41","A
                                                                        Baker","Boise Hawks","8.74","2","3","10","9","0","45.1","64","51","44","32","34","6.75","7","2.12","232","2","3",2026,"pitcher"
"42","C
                                                                        Blowers","Oakland Ballers","7.05","0","0","8","8","0","44.2","52","36","35","20","38","7.66","11","1.61","207","2","5",2026,"pitcher"
"42","D
                                                                        Hankins","Billings Mustangs","7.46","2","3","10","9","0","44.2","51","38","37","30","32","6.45","4","1.81","215","1","7",2026,"pitcher"
"44","D
                                                                        Gardner","Ogden Raptors","7.36","3","3","23","3","0","44","45","40","36","33","44","9","10","1.77","214","7","6",2026,"pitcher"
"45","R
                                                                        Fields","Missoula PaddleHeads","3.59","5","2","13","4","0","42.2","36","19","17","16","49","10.34","5","1.22","176","1","-",2026,"pitcher"
"45","J
                                                                        Harris","Billings Mustangs","5.06","4","1","8","8","0","42.2","41","25","24","29","45","9.49","3","1.64","196","2","3",2026,"pitcher"
"47","J
                                                                        Ballista","Ogden Raptors","6.75","1","1","12","4","0","41.1","59","35","31","20","22","4.79","2","1.91","198","4","3",2026,"pitcher"
"48","C
                                                                        Martinez","Yuba-Sutter Freebirds","8.85","2","3","10","7","0","40.2","47","44","40","46","39","8.63","4","2.29","214","6","8",2026,"pitcher"
"49","S
                                                                        Wiese","Yuba-Sutter Freebirds","5.8","2","0","32","0","0","40.1","48","30","26","13","26","5.8","9","1.51","188","1","6",2026,"pitcher"
"50","G
                                                                        Smith","Oakland Ballers","8.39","1","5","8","7","0","39.2","55","44","37","11","27","6.13","16","1.66","181","1","-",2026,"pitcher"
"51","H
                                                                        Orth","Great Falls Voyagers","9.61","1","2","9","9","0","39.1","49","48","42","40","31","7.09","5","2.26","205","6","2",2026,"pitcher"
"51","R
                                                                        Radkey","Boise Hawks","6.64","3","1","8","7","0","39.1","41","35","29","28","27","6.18","5","1.75","184","2","3",2026,"pitcher"
"53","H
                                                                        Boncal","Billings Mustangs","8.54","1","3","12","8","0","39","53","42","37","31","47","10.85","7","2.15","198","3","3",2026,"pitcher"
"53","C
                                                                        Bunch","Ogden Raptors","7.85","2","2","8","8","0","39","59","41","34","15","40","9.23","7","1.9","190","6","2",2026,"pitcher"
"53","S
                                                                        Ordorica","Long Beach Coast","4.62","2","2","35","0","2","39","43","21","20","16","20","4.62","5","1.51","166","2","2",2026,"pitcher"
"56","U
                                                                        Romo","RedPocket Mobiles","9","1","2","17","4","0","38","58","46","38","25","23","5.45","6","2.18","196","2","5",2026,"pitcher"
"57","J
                                                                        Giblin","Glacier Range Riders","5.3","3","2","9","7","0","37.1","42","24","22","18","41","9.88","3","1.61","169","1","1",2026,"pitcher"
"57","S
                                                                        Kelby","Idaho Falls Chukars","6.27","3","1","10","6","0","37.1","42","35","26","34","19","4.58","4","2.04","185","7","4",2026,"pitcher"
"57","D
                                                                        McCall","Yuba-Sutter Freebirds","9.64","1","3","16","4","0","37.1","47","41","40","40","25","6.03","9","2.33","199","2","1",2026,"pitcher"
"57","P
                                                                        McMan","Ogden Raptors","8.92","3","1","8","8","0","37.1","51","37","37","18","33","7.96","13","1.85","175","2","1",2026,"pitcher"
"57","T
                                                                        Wolf","Yuba-Sutter Freebirds","6.75","2","3","34","0","7","37.1","35","30","28","35","39","9.4","4","1.87","185","4","2",2026,"pitcher"
