rk,name,team,gp,ab,h,rbi,bb,x2b,x3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,season,player_type,total_bases,non_hr_xbh,x3b_from_slg,x2b_from_slg,player_name,x1b,ops,iso,bb_rate,k_rate,hr_rate,xbh_rate,woba
75,Z Zurbrugg,Great Falls Voyagers,34,89,26,15,16,0,0,0,0,14,0.292,0.4,0.292,0,0,NA,NA,NA,NA,NA,105,2021,hitter,26,0,0,0,Z Zurbrugg,26,0.692,0,0.1523809523809524,0.13333333333333333,0,0,0.32502857142857144
77,C Crader,Grand Junction Jackalopes,15,24,7,8,3,0,0,2,2,8,0.292,0.37,0.542,0,0,NA,NA,NA,NA,NA,27,2021,hitter,13,0,0,0,C Crader,5,0.912,0.25000000000000006,0.1111111111111111,0.2962962962962963,0.07407407407407407,0.07407407407407407,0.3967407407407407
78,N Pacheco,Ogden Raptors,45,94,27,17,14,0,0,1,1,35,0.287,0.38,0.319,0,0,NA,NA,NA,NA,NA,108,2021,hitter,30,0,0,0,N Pacheco,26,0.6990000000000001,0.03200000000000003,0.12962962962962962,0.32407407407407407,0.009259259259259259,0.009259259259259259,0.322675925925926
79,Q Alexander,Great Falls Voyagers,56,217,62,23,22,0,0,0,0,49,0.286,0.351,0.286,0,0,NA,NA,NA,NA,NA,239,2021,hitter,62,0,0,0,Q Alexander,62,0.637,0,0.09205020920502092,0.20502092050209206,0,0,0.2938744769874477
79,D Delorefice,Missoula PaddleHeads,27,70,20,9,12,0,0,1,1,15,0.286,0.39,0.329,0,0,NA,NA,NA,NA,NA,82,2021,hitter,23,0,0,0,D Delorefice,19,0.7190000000000001,0.04300000000000004,0.14634146341463414,0.18292682926829268,0.012195121951219513,0.012195121951219513,0.3323536585365854
79,K Hayes,Great Falls Voyagers,34,77,22,15,10,0,0,4,4,21,0.286,0.368,0.442,0,0,NA,NA,NA,NA,NA,87,2021,hitter,34,0,0,0,K Hayes,18,0.81,0.15600000000000003,0.11494252873563218,0.2413793103448276,0.04597701149425287,0.04597701149425287,0.35963218390804597
82,J Azuaje,Billings Mustangs,71,228,65,24,36,0,0,2,2,25,0.285,0.383,0.311,0,0,NA,NA,NA,NA,NA,264,2021,hitter,71,0,0,0,J Azuaje,63,0.694,0.026000000000000023,0.13636363636363635,0.0946969696969697,0.007575757575757576,0.007575757575757576,0.32191666666666663
83,B Daniel,Great Falls Voyagers,37,137,39,24,17,0,0,3,3,36,0.285,0.364,0.35,0,0,NA,NA,NA,NA,NA,154,2021,hitter,48,0,0,0,B Daniel,36,0.714,0.065,0.11038961038961038,0.23376623376623376,0.01948051948051948,0.01948051948051948,0.3246818181818182
84,T Brunson,Great Falls Voyagers,33,116,33,20,11,0,0,2,2,34,0.284,0.346,0.336,0,0,NA,NA,NA,NA,NA,127,2021,hitter,39,0,0,0,T Brunson,31,0.6819999999999999,0.052000000000000046,0.08661417322834646,0.2677165354330709,0.015748031496062992,0.015748031496062992,0.30960629921259836
85,A Don,Idaho Falls Chukars,62,255,72,40,32,0,0,4,4,72,0.282,0.362,0.329,0,0,NA,NA,NA,NA,NA,287,2021,hitter,84,0,0,0,A Don,68,0.6910000000000001,0.04700000000000004,0.11149825783972125,0.2508710801393728,0.013937282229965157,0.013937282229965157,0.31661324041811845
