rk,name,team,gp,ab,h,rbi,bb,x2b,x3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,season,player_type,total_bases,non_hr_xbh,x3b_from_slg,x2b_from_slg,player_name,x1b,ops,iso,bb_rate,k_rate,hr_rate,xbh_rate,woba
83,D Hernandez,Rocky Mountain Vibes,63,246,77,53,19,19,3,8,30,55,0.313,0.374,0.512,6,2,NA,8,57,50,1.14,273,2022,hitter,126,22,3,19,D Hernandez,47,0.886,0.199,0.0695970695970696,0.20146520146520147,0.029304029304029304,0.10989010989010989,0.38455311355311356
84,D Connors,Ogden Raptors,89,324,101,62,46,25,2,6,33,61,0.312,0.399,0.457,4,4,1,4,69,92,0.75,379,2022,hitter,148,27,2,25,D Connors,68,0.8560000000000001,0.14500000000000002,0.12137203166226913,0.16094986807387862,0.0158311345646438,0.0870712401055409,0.3773148148148148
85,J Elvir,Grand Junction Jackalopes,84,308,96,83,34,17,1,19,37,89,0.312,0.39,0.558,8,4,NA,6,58,65,0.89,354,2022,hitter,172,18,1,17,J Elvir,59,0.9480000000000001,0.24600000000000005,0.096045197740113,0.2514124293785311,0.05367231638418079,0.10451977401129943,0.40895480225988695
86,J Akins,Missoula PaddleHeads,68,197,61,42,25,12,2,7,21,53,0.31,0.394,0.497,3,1,NA,3,40,38,1.05,226,2022,hitter,98,14,2,12,J Akins,40,0.891,0.187,0.11061946902654868,0.2345132743362832,0.030973451327433628,0.09292035398230089,0.38994247787610625
87,R Phillips,Idaho Falls Chukars,27,68,21,12,10,3,NA,NA,3,19,0.309,0.397,0.353,0,0,NA,NA,20,8,2.5,78,2022,hitter,24,NA,NA,NA,R Phillips,NA,0.75,0.043999999999999984,0.1282051282051282,0.24358974358974358,NA,0.038461538461538464,NA
88,D Kolbush,Great Falls Voyagers,73,266,82,50,32,13,2,5,20,71,0.308,0.386,0.429,4,4,NA,6,62,51,1.22,306,2022,hitter,114,15,2,13,D Kolbush,62,0.815,0.121,0.10457516339869281,0.23202614379084968,0.016339869281045753,0.06535947712418301,0.3604052287581699
89,D Miller,Glacier Range Riders,82,312,96,75,30,23,2,15,40,62,0.308,0.376,0.538,7,5,NA,12,88,53,1.66,354,2022,hitter,168,25,2,23,D Miller,56,0.914,0.23000000000000004,0.0847457627118644,0.1751412429378531,0.0423728813559322,0.11299435028248588,0.3939604519774011
90,N Emanuel,Great Falls Voyagers,25,88,27,13,6,2,NA,NA,2,11,0.307,0.367,0.33,3,1,NA,1,27,20,1.35,98,2022,hitter,29,NA,NA,NA,N Emanuel,NA,0.6970000000000001,0.02300000000000002,0.061224489795918366,0.11224489795918367,NA,0.02040816326530612,NA
91,C Runge,Great Falls Voyagers,89,336,103,60,48,16,2,11,29,64,0.307,0.407,0.464,10,2,NA,8,77,81,0.95,396,2022,hitter,156,18,2,16,C Runge,74,0.871,0.15700000000000003,0.12121212121212122,0.16161616161616163,0.027777777777777776,0.07323232323232323,0.38568434343434344
92,D Macaluso,Ogden Raptors,50,121,37,31,15,8,1,5,14,32,0.306,0.396,0.512,5,3,2,4,20,36,0.56,146,2022,hitter,62,9,1,8,D Macaluso,23,0.908,0.20600000000000002,0.10273972602739725,0.2191780821917808,0.03424657534246575,0.0958904109589041,0.39356250000000004
93,J Raper,Billings Mustangs,92,337,103,60,36,27,7,11,45,75,0.306,0.377,0.525,4,2,2,7,69,85,0.81,381,2022,hitter,177,34,7,27,J Raper,58,0.902,0.21900000000000003,0.09448818897637795,0.1968503937007874,0.028871391076115485,0.11811023622047244,0.3904274406332454
94,C Middleton,Grand Junction Jackalopes,42,154,47,32,13,9,0,8,17,36,0.305,0.375,0.519,6,3,NA,6,28,42,0.67,176,2022,hitter,80,9,0,9,C Middleton,30,0.894,0.21400000000000002,0.07386363636363637,0.20454545454545456,0.045454545454545456,0.09659090909090909,0.38743749999999993
95,K Greenwalt,Missoula PaddleHeads,89,348,106,66,30,26,4,8,38,58,0.305,0.365,0.471,7,7,1,7,89,99,0.9,393,2022,hitter,164,30,4,26,K Greenwalt,68,0.836,0.16599999999999998,0.07633587786259542,0.1475826972010178,0.020356234096692113,0.09669211195928754,0.3634081632653061
96,J Ajamian,Boise Hawks,7,23,7,8,3,1,0,1,2,4,0.304,0.393,0.478,1,1,NA,NA,5,8,0.63,28,2022,hitter,11,1,0,1,J Ajamian,5,0.871,0.174,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.07142857142857142,0.37871428571428567
96,C Farmer,Grand Junction Jackalopes,37,138,42,25,28,10,0,5,15,36,0.304,0.42,0.486,1,2,NA,5,22,34,0.65,169,2022,hitter,67,10,0,10,C Farmer,27,0.9059999999999999,0.182,0.16568047337278108,0.21301775147928995,0.029585798816568046,0.08875739644970414,0.39782840236686395
98,G Wurtz,Billings Mustangs,91,355,108,81,33,24,4,20,48,103,0.304,0.363,0.563,2,4,NA,1,54,85,0.64,394,2022,hitter,200,28,4,24,G Wurtz,60,0.9259999999999999,0.25899999999999995,0.08375634517766498,0.2614213197969543,0.050761421319796954,0.1218274111675127,0.39716243654822325
99,A Noviello,Missoula PaddleHeads,49,162,49,37,28,11,0,3,14,32,0.302,0.404,0.426,1,2,NA,6,35,48,0.73,193,2022,hitter,69,11,0,11,A Noviello,35,0.8300000000000001,0.124,0.14507772020725387,0.16580310880829016,0.015544041450777202,0.07253886010362694,0.3699792746113989
100,B Crosby,Colorado Springs Sky Sox,76,295,89,62,28,19,6,11,36,91,0.302,0.378,0.519,8,0,NA,5,55,49,1.12,331,2022,hitter,153,25,6,19,B Crosby,53,0.897,0.21700000000000003,0.08459214501510574,0.27492447129909364,0.03323262839879154,0.10876132930513595,0.3900785498489426
101,D Binder,Rocky Mountain Vibes,18,73,22,11,4,5,1,2,8,19,0.301,0.342,0.479,1,1,NA,2,11,19,0.58,79,2022,hitter,35,6,1,5,D Binder,14,0.821,0.178,0.05063291139240506,0.24050632911392406,0.02531645569620253,0.10126582278481013,0.3555316455696202
102,N Marcelo,Glacier Range Riders,13,20,6,1,4,NA,NA,NA,0,9,0.3,0.462,0.3,2,0,NA,NA,1,4,0.25,26,2022,hitter,6,NA,NA,NA,N Marcelo,NA,0.762,0,0.15384615384615385,0.34615384615384615,NA,0,NA
102,G Young,Colorado Springs Sky Sox,34,10,3,2,1,1,NA,NA,1,4,0.3,0.364,0.4,0,0,NA,NA,2,1,2,11,2022,hitter,4,NA,NA,NA,G Young,NA,0.764,0.10000000000000003,0.09090909090909091,0.36363636363636365,NA,0.09090909090909091,NA
104,A Mow,Billings Mustangs,35,84,25,19,12,7,1,3,11,15,0.298,0.404,0.512,3,0,NA,3,29,14,2.07,99,2022,hitter,43,8,1,7,A Mow,14,0.916,0.21400000000000002,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.1111111111111111,0.4009494949494949
105,A Rivero,Ogden Raptors,8,37,11,4,1,3,0,1,4,10,0.297,0.333,0.459,1,0,NA,1,6,10,0.6,39,2022,hitter,17,3,0,3,A Rivero,7,0.792,0.16200000000000003,0.02564102564102564,0.2564102564102564,0.02564102564102564,0.10256410256410256,0.3472307692307692
106,K Elefante,Ogden Raptors,11,27,8,6,4,2,NA,NA,2,8,0.296,0.375,0.37,0,1,NA,1,6,6,1,32,2022,hitter,10,NA,NA,NA,K Elefante,NA,0.745,0.07400000000000001,0.125,0.25,NA,0.0625,NA
106,T Krabbe,Great Falls Voyagers,16,54,16,13,4,5,0,2,7,12,0.296,0.344,0.5,1,2,NA,2,12,15,0.8,61,2022,hitter,27,5,0,5,T Krabbe,9,0.844,0.20400000000000001,0.06557377049180328,0.19672131147540983,0.03278688524590164,0.11475409836065574,0.3611639344262295
108,B McConnell,Glacier Range Riders,90,375,111,42,38,17,1,4,22,58,0.296,0.366,0.379,6,5,6,2,115,88,1.31,430,2022,hitter,142,18,1,17,B McConnell,89,0.745,0.08300000000000002,0.08837209302325581,0.13488372093023257,0.009302325581395349,0.05116279069767442,0.33304481132075475
108,K Whatley,Missoula PaddleHeads,34,125,37,17,10,9,1,2,12,34,0.296,0.382,0.432,8,1,5,1,30,26,1.15,149,2022,hitter,54,10,1,9,K Whatley,25,0.8140000000000001,0.136,0.06711409395973154,0.22818791946308725,0.013422818791946308,0.08053691275167785,0.3620347222222222
110,B Bohning,Ogden Raptors,22,71,21,9,6,6,0,1,7,16,0.296,0.398,0.423,6,0,1,2,12,19,0.63,84,2022,hitter,30,6,0,6,B Bohning,14,0.821,0.127,0.07142857142857142,0.19047619047619047,0.011904761904761904,0.08333333333333333,0.36904819277108436
111,A Hanson,Rocky Mountain Vibes,63,197,58,43,18,13,3,4,20,50,0.294,0.359,0.452,3,2,1,3,42,46,0.91,221,2022,hitter,89,16,3,13,A Hanson,38,0.8109999999999999,0.15800000000000003,0.08144796380090498,0.22624434389140272,0.01809954751131222,0.09049773755656108,0.3550227272727272
112,R Gil,Boise Hawks,84,331,97,58,33,22,2,17,41,89,0.293,0.357,0.526,3,6,NA,11,66,67,0.99,373,2022,hitter,174,24,2,22,R Gil,56,0.883,0.23300000000000004,0.08847184986595175,0.2386058981233244,0.045576407506702415,0.10991957104557641,0.3795576407506702
113,T Lewis,Ogden Raptors,77,247,72,41,26,20,1,5,26,75,0.291,0.373,0.441,9,5,2,2,41,59,0.69,289,2022,hitter,109,21,1,20,T Lewis,46,0.8140000000000001,0.15000000000000002,0.08996539792387544,0.25951557093425603,0.01730103806228374,0.08996539792387544,0.3582822299651568
114,D Popham,Colorado Springs Sky Sox,28,79,23,17,7,7,1,2,10,23,0.291,0.376,0.481,5,2,NA,4,13,21,0.62,93,2022,hitter,38,8,1,7,D Popham,13,0.857,0.19,0.07526881720430108,0.24731182795698925,0.021505376344086023,0.10752688172043011,0.3731075268817204
115,J Bermudez,Idaho Falls Chukars,17,55,16,7,4,3,NA,NA,3,14,0.291,0.333,0.345,0,1,NA,3,13,10,1.3,60,2022,hitter,19,NA,NA,NA,J Bermudez,NA,0.6779999999999999,0.05399999999999999,0.06666666666666667,0.23333333333333334,NA,0.05,NA
115,C Monroe,Great Falls Voyagers,42,165,48,37,11,11,0,3,14,39,0.291,0.337,0.412,2,3,NA,4,43,37,1.16,181,2022,hitter,68,11,0,11,C Monroe,34,0.749,0.121,0.06077348066298342,0.2154696132596685,0.016574585635359115,0.07734806629834254,0.32878453038674027
117,M O'Connor,Missoula PaddleHeads,67,266,77,57,21,18,2,14,34,68,0.289,0.362,0.53,11,3,NA,3,54,57,0.95,301,2022,hitter,141,20,2,18,M O'Connor,43,0.892,0.24100000000000005,0.06976744186046512,0.22591362126245848,0.046511627906976744,0.11295681063122924,0.38584717607973423
118,T Jorgensen,Boise Hawks,95,401,116,56,36,21,4,4,29,69,0.289,0.37,0.392,18,5,NA,4,93,123,0.76,460,2022,hitter,157,25,4,21,T Jorgensen,87,0.762,0.10300000000000004,0.0782608695652174,0.15,0.008695652173913044,0.06304347826086956,0.340545652173913
119,M Rich,Colorado Springs Sky Sox,58,163,47,18,13,2,2,NA,4,34,0.288,0.333,0.325,1,6,2,2,49,34,1.44,185,2022,hitter,53,NA,NA,NA,M Rich,NA,0.658,0.03700000000000003,0.07027027027027027,0.1837837837837838,NA,0.021621621621621623,NA
120,C Phelts,Colorado Springs Sky Sox,82,302,87,49,34,12,10,7,29,100,0.288,0.372,0.464,8,3,7,3,69,46,1.5,354,2022,hitter,140,22,10,12,C Phelts,58,0.8360000000000001,0.17600000000000005,0.096045197740113,0.2824858757062147,0.01977401129943503,0.08192090395480225,0.3655878962536023
121,J Barth,Billings Mustangs,77,250,72,31,10,11,1,5,17,23,0.288,0.344,0.4,12,1,1,8,86,60,1.43,274,2022,hitter,100,12,1,11,J Barth,55,0.744,0.11200000000000004,0.0364963503649635,0.08394160583941605,0.01824817518248175,0.06204379562043796,0.3315238095238095
122,A Ray,Ogden Raptors,17,66,19,10,5,4,1,NA,5,4,0.288,0.347,0.379,1,0,2,NA,22,20,1.1,74,2022,hitter,25,NA,NA,NA,A Ray,NA,0.726,0.09100000000000003,0.06756756756756757,0.05405405405405406,NA,0.06756756756756757,NA
123,B Perez,Rocky Mountain Vibes,54,195,56,20,8,8,2,NA,10,49,0.287,0.325,0.349,4,2,1,3,46,40,1.15,210,2022,hitter,68,NA,NA,NA,B Perez,NA,0.6739999999999999,0.062,0.0380952380952381,0.23333333333333334,NA,0.047619047619047616,NA
124,J Malec,Great Falls Voyagers,84,353,101,43,27,12,2,6,20,104,0.286,0.354,0.382,12,4,NA,4,74,67,1.1,396,2022,hitter,135,14,2,12,J Malec,81,0.736,0.09600000000000003,0.06818181818181818,0.26262626262626265,0.015151515151515152,0.050505050505050504,0.329070707070707
125,J Esparza,Rocky Mountain Vibes,14,56,16,7,2,3,0,2,5,18,0.286,0.31,0.446,0,0,1,NA,14,9,1.56,59,2022,hitter,25,3,0,3,J Esparza,11,0.756,0.16000000000000003,0.03389830508474576,0.3050847457627119,0.03389830508474576,0.0847457627118644,0.3303965517241379
1,O Sanchez,Billings Mustangs,8,1,1,0,NA,NA,NA,NA,0,NA,1,1,1,0,0,NA,NA,NA,NA,NA,1,2023,hitter,1,NA,NA,NA,O Sanchez,NA,2,0,NA,NA,NA,0,NA
2,A Rios,Rocky Mountain Vibes,4,16,10,4,1,2,0,1,3,2,0.625,0.647,0.938,0,0,NA,NA,2,2,1,17,2023,hitter,15,2,0,2,A Rios,7,1.585,0.31299999999999994,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.6793529411764706
3,B Held,Great Falls Voyagers,35,6,3,1,NA,NA,NA,NA,0,2,0.5,0.5,0.5,0,0,NA,NA,1,NA,NA,6,2023,hitter,3,NA,NA,NA,B Held,NA,1,0,NA,0.3333333333333333,NA,0,NA
3,V Rodriguez,Idaho Falls Chukars,34,4,2,1,NA,1,NA,NA,1,NA,0.5,0.5,0.75,0,0,NA,NA,2,NA,NA,4,2023,hitter,3,NA,NA,NA,V Rodriguez,NA,1.25,0.25,NA,NA,NA,0.25,NA
5,J McMurray,Rocky Mountain Vibes,55,205,92,50,29,11,0,1,12,10,0.449,0.515,0.517,2,3,NA,6,64,38,1.68,239,2023,hitter,106,11,0,11,J McMurray,80,1.032,0.068,0.12133891213389121,0.04184100418410042,0.0041841004184100415,0.0502092050209205,0.45429288702928866
6,C De Guzman,Great Falls Voyagers,16,59,26,9,6,3,1,NA,4,13,0.441,0.485,0.525,0,1,NA,NA,12,9,1.33,66,2023,hitter,31,NA,NA,NA,C De Guzman,NA,1.01,0.08400000000000002,0.09090909090909091,0.19696969696969696,NA,0.06060606060606061,NA
7,B McPherson,Billings Mustangs,10,7,3,2,2,NA,NA,NA,0,3,0.429,0.5,0.429,0,1,NA,NA,NA,2,NA,10,2023,hitter,3,NA,NA,NA,B McPherson,NA,0.929,0,0.2,0.3,NA,0,NA
8,K Willman,Missoula PaddleHeads,21,75,32,15,10,8,1,2,11,9,0.427,0.494,0.64,2,2,NA,NA,16,17,0.94,89,2023,hitter,48,9,1,8,K Willman,21,1.134,0.21300000000000002,0.11235955056179775,0.10112359550561797,0.02247191011235955,0.12359550561797752,0.4828988764044943
9,K O'Brien,Glacier Range Riders,4,12,5,3,NA,1,NA,NA,1,3,0.417,0.462,0.5,1,0,NA,NA,4,NA,NA,13,2023,hitter,6,NA,NA,NA,K O'Brien,NA,0.962,0.08300000000000002,NA,0.23076923076923078,NA,0.07692307692307693,NA
10,B Ryan,Billings Mustangs,34,116,48,27,14,8,0,4,12,11,0.414,0.489,0.586,4,1,2,2,30,27,1.11,137,2023,hitter,68,8,0,8,B Ryan,36,1.075,0.172,0.10218978102189781,0.08029197080291971,0.029197080291970802,0.08759124087591241,0.46731851851851847
11,D Henderson,Ogden Raptors,41,97,39,16,15,10,0,5,15,25,0.402,0.487,0.66,1,0,NA,1,21,11,1.91,113,2023,hitter,64,10,0,10,D Henderson,24,1.147,0.258,0.13274336283185842,0.22123893805309736,0.04424778761061947,0.13274336283185842,0.4920265486725664
12,J Smith,Grand Junction Jackalopes,19,5,2,0,NA,1,NA,NA,1,3,0.4,0.4,0.6,0,0,NA,NA,NA,NA,NA,5,2023,hitter,3,NA,NA,NA,J Smith,NA,1,0.19999999999999996,NA,0.6,NA,0.2,NA
12,J Urena,Idaho Falls Chukars,2,5,2,0,NA,NA,NA,NA,0,3,0.4,0.4,0.4,0,0,NA,NA,NA,NA,NA,5,2023,hitter,2,NA,NA,NA,J Urena,NA,0.8,0,NA,0.6,NA,0,NA
14,D Hubbard,Missoula PaddleHeads,69,281,111,50,23,29,1,11,41,46,0.395,0.456,0.623,10,2,1,8,56,62,0.9,317,2023,hitter,175,30,1,29,D Hubbard,70,1.079,0.22799999999999998,0.07255520504731862,0.14511041009463724,0.03470031545741325,0.12933753943217666,0.4646708860759493
15,J Soto,Ogden Raptors,16,64,25,20,8,3,0,5,8,14,0.391,0.446,0.672,0,2,NA,NA,12,15,0.8,74,2023,hitter,43,3,0,3,J Soto,17,1.118,0.281,0.10810810810810811,0.1891891891891892,0.06756756756756757,0.10810810810810811,0.47208108108108104
16,S Olsson,Boise Hawks,28,108,42,27,15,7,0,1,8,13,0.389,0.478,0.481,7,4,NA,3,25,28,0.89,134,2023,hitter,52,7,0,7,S Olsson,34,0.959,0.09199999999999997,0.11194029850746269,0.09701492537313433,0.007462686567164179,0.05970149253731343,0.42234328358208956
17,B Carson,Rocky Mountain Vibes,18,70,27,18,17,8,0,2,10,15,0.386,0.494,0.586,0,2,2,NA,18,15,1.2,91,2023,hitter,41,8,0,8,B Carson,17,1.08,0.19999999999999996,0.18681318681318682,0.16483516483516483,0.02197802197802198,0.10989010989010989,0.462876404494382
18,X Washington,Great Falls Voyagers,65,275,105,39,17,17,1,4,22,43,0.382,0.419,0.495,4,5,2,2,61,66,0.92,303,2023,hitter,136,18,1,17,X Washington,83,0.9139999999999999,0.11299999999999999,0.056105610561056105,0.1419141914191419,0.013201320132013201,0.07260726072607261,0.3985016611295681
19,J Coutts,Colorado Springs Sky Sox,85,331,126,89,40,25,4,18,47,52,0.381,0.453,0.644,8,5,NA,6,84,71,1.18,384,2023,hitter,213,29,4,25,J Coutts,79,1.097,0.263,0.10416666666666667,0.13541666666666666,0.046875,0.12239583333333333,0.46766927083333326
20,J Cruce,Grand Junction Jackalopes,90,387,146,96,41,25,0,23,48,75,0.377,0.444,0.62,7,2,NA,7,83,80,1.04,437,2023,hitter,240,25,0,25,J Cruce,98,1.064,0.243,0.09382151029748284,0.17162471395881007,0.05263157894736842,0.10983981693363844,0.45873226544622425
21,J Broughton,Ogden Raptors,21,93,35,16,7,6,1,NA,7,9,0.376,0.417,0.462,1,2,NA,NA,26,23,1.13,103,2023,hitter,43,NA,NA,NA,J Broughton,NA,0.879,0.08600000000000002,0.06796116504854369,0.08737864077669903,NA,0.06796116504854369,NA
22,R Jepson,Great Falls Voyagers,82,321,120,49,54,24,5,1,30,27,0.374,0.465,0.489,5,5,NA,8,103,63,1.63,385,2023,hitter,157,29,5,24,R Jepson,90,0.954,0.11499999999999999,0.14025974025974025,0.07012987012987013,0.0025974025974025974,0.07792207792207792,0.4194155844155844
23,N Ultsch,Ogden Raptors,89,343,128,73,35,27,5,7,39,67,0.373,0.441,0.542,8,2,NA,16,103,42,2.45,388,2023,hitter,186,32,5,27,N Ultsch,89,0.9830000000000001,0.16900000000000004,0.09020618556701031,0.17268041237113402,0.01804123711340206,0.10051546391752578,0.42799484536082477
24,R McCarthy,Great Falls Voyagers,22,86,32,25,15,7,2,6,15,19,0.372,0.466,0.709,1,1,NA,NA,14,18,0.78,103,2023,hitter,61,9,2,7,R McCarthy,17,1.175,0.33699999999999997,0.14563106796116504,0.18446601941747573,0.05825242718446602,0.14563106796116504,0.4942038834951456
25,J Johnson,Grand Junction Jackalopes,96,419,155,106,64,35,5,22,62,79,0.37,0.456,0.635,4,2,1,8,90,91,0.99,490,2023,hitter,266,40,5,35,J Johnson,93,1.091,0.265,0.1306122448979592,0.16122448979591836,0.044897959183673466,0.12653061224489795,0.46711451942740295
26,A Shumaker,Grand Junction Jackalopes,27,79,29,5,8,6,1,NA,7,20,0.367,0.474,0.468,8,0,2,1,14,13,1.08,97,2023,hitter,37,NA,NA,NA,A Shumaker,NA,0.942,0.10100000000000003,0.08247422680412371,0.20618556701030927,NA,0.07216494845360824,NA
27,D Miller,Glacier Range Riders,90,361,130,80,56,27,2,15,44,77,0.36,0.448,0.571,7,7,NA,8,85,67,1.27,431,2023,hitter,206,29,2,27,D Miller,86,1.019,0.21099999999999997,0.12993039443155452,0.17865429234338748,0.03480278422273782,0.10208816705336426,0.4388074245939675
28,J Barfield,Rocky Mountain Vibes,77,286,102,98,44,27,0,22,49,67,0.357,0.449,0.682,9,6,4,4,45,79,0.57,349,2023,hitter,195,27,0,27,J Barfield,53,1.131,0.32500000000000007,0.12607449856733524,0.19197707736389685,0.06303724928366762,0.14040114613180515,0.47669855072463774
29,L Navarro,Missoula PaddleHeads,67,247,88,58,45,17,0,10,27,44,0.356,0.46,0.547,5,3,NA,7,54,59,0.92,300,2023,hitter,135,17,0,17,L Navarro,61,1.0070000000000001,0.19100000000000006,0.15,0.14666666666666667,0.03333333333333333,0.09,0.43815
30,T Jeffries,Rocky Mountain Vibes,12,31,11,2,7,2,NA,NA,2,5,0.355,0.524,0.419,4,0,NA,NA,9,6,1.5,42,2023,hitter,13,NA,NA,NA,T Jeffries,NA,0.9430000000000001,0.064,0.16666666666666666,0.11904761904761904,NA,0.047619047619047616,NA
31,S Wilmer,Rocky Mountain Vibes,52,130,46,40,35,7,1,10,18,44,0.354,0.522,0.654,12,1,2,NA,17,24,0.71,180,2023,hitter,85,8,1,7,S Wilmer,28,1.1760000000000002,0.30000000000000004,0.19444444444444445,0.24444444444444444,0.05555555555555555,0.1,0.501129213483146
32,H George,Colorado Springs Sky Sox,88,348,123,59,53,23,8,16,47,36,0.353,0.445,0.603,6,2,1,1,85,100,0.85,410,2023,hitter,210,31,8,23,H George,76,1.048,0.25,0.12926829268292683,0.08780487804878048,0.03902439024390244,0.11463414634146342,0.4502860635696821
33,J Faile,Billings Mustangs,54,201,71,70,20,19,0,21,40,58,0.353,0.414,0.761,3,3,NA,5,25,50,0.5,227,2023,hitter,153,19,0,19,J Faile,31,1.175,0.40800000000000003,0.0881057268722467,0.2555066079295154,0.09251101321585903,0.1762114537444934,0.49235242290748904
34,J Teixeira,Ogden Raptors,86,350,123,74,28,32,0,11,43,45,0.351,0.405,0.537,7,5,NA,9,95,81,1.17,390,2023,hitter,188,32,0,32,J Teixeira,80,0.9420000000000001,0.18600000000000005,0.07179487179487179,0.11538461538461539,0.028205128205128206,0.11025641025641025,0.4081974358974359
35,A Guadalupe,Colorado Springs Sky Sox,85,333,117,89,23,21,4,17,42,39,0.351,0.393,0.592,3,5,2,8,93,78,1.19,366,2023,hitter,197,25,4,21,A Guadalupe,75,0.985,0.241,0.06284153005464481,0.10655737704918032,0.04644808743169399,0.11475409836065574,0.42172527472527466
36,B Brown,Idaho Falls Chukars,59,225,79,25,39,15,4,3,22,58,0.351,0.465,0.493,9,0,1,2,38,46,0.83,274,2023,hitter,111,19,4,15,B Brown,57,0.958,0.14200000000000002,0.14233576642335766,0.2116788321167883,0.010948905109489052,0.08029197080291971,0.42438095238095236
37,K Figueiredo,Grand Junction Jackalopes,40,151,53,46,37,17,0,9,26,27,0.351,0.492,0.642,8,3,1,2,34,40,0.85,200,2023,hitter,97,17,0,17,K Figueiredo,27,1.134,0.29100000000000004,0.185,0.135,0.045,0.13,0.48139698492462313
38,R Washington Jr.,Grand Junction Jackalopes,90,357,125,88,54,19,2,24,45,67,0.35,0.44,0.616,6,3,NA,9,72,90,0.8,420,2023,hitter,220,21,2,19,R Washington Jr.,80,1.056,0.266,0.12857142857142856,0.1595238095238095,0.05714285714285714,0.10714285714285714,0.4534214285714286
39,P Chung,Missoula PaddleHeads,79,316,110,51,22,17,2,6,25,32,0.348,0.399,0.472,9,6,NA,5,74,99,0.75,353,2023,hitter,149,19,2,17,P Chung,85,0.871,0.124,0.06232294617563739,0.0906515580736544,0.0169971671388102,0.0708215297450425,0.3813116147308782
40,C Petersen,Rocky Mountain Vibes,54,190,66,44,41,15,4,6,25,50,0.347,0.486,0.563,13,3,NA,3,30,46,0.65,247,2023,hitter,107,19,4,15,C Petersen,41,1.049,0.21599999999999997,0.1659919028340081,0.20242914979757085,0.024291497975708502,0.10121457489878542,0.45432793522267206
41,K Greenwalt,Missoula PaddleHeads,88,365,126,93,35,23,4,21,48,44,0.345,0.414,0.603,13,7,NA,11,81,113,0.72,420,2023,hitter,220,27,4,23,K Greenwalt,78,1.017,0.258,0.08333333333333333,0.10476190476190476,0.05,0.11428571428571428,0.4348047619047619
42,A Chouinard,Grand Junction Jackalopes,46,145,50,30,16,8,0,6,14,37,0.345,0.436,0.524,9,2,1,2,28,30,0.93,173,2023,hitter,76,8,0,8,A Chouinard,36,0.96,0.17900000000000005,0.09248554913294797,0.2138728323699422,0.03468208092485549,0.08092485549132948,0.4202325581395349
43,E Lopez,Rocky Mountain Vibes,71,288,99,66,40,21,2,12,35,51,0.344,0.427,0.556,4,3,NA,4,68,70,0.97,335,2023,hitter,160,23,2,21,E Lopez,64,0.9830000000000001,0.21200000000000008,0.11940298507462686,0.15223880597014924,0.03582089552238806,0.1044776119402985,0.4252388059701492
44,G Wurtz,Billings Mustangs,90,355,122,71,35,22,3,19,44,71,0.344,0.413,0.583,9,3,NA,8,68,81,0.84,402,2023,hitter,207,25,3,22,G Wurtz,78,0.996,0.239,0.08706467661691543,0.17661691542288557,0.0472636815920398,0.10945273631840796,0.42945522388059704
45,J Guenther,Missoula PaddleHeads,84,326,112,77,50,13,1,8,22,31,0.344,0.435,0.463,9,8,NA,12,91,92,0.99,393,2023,hitter,151,14,1,13,J Guenther,90,0.898,0.11900000000000005,0.1272264631043257,0.07888040712468193,0.020356234096692113,0.05597964376590331,0.39660305343511454
46,D Stroup,Rocky Mountain Vibes,94,365,125,108,68,25,6,20,51,77,0.342,0.456,0.608,12,5,NA,3,64,91,0.7,450,2023,hitter,222,31,6,25,D Stroup,74,1.064,0.26599999999999996,0.1511111111111111,0.1711111111111111,0.044444444444444446,0.11333333333333333,0.45508222222222217
47,A Baeza,Boise Hawks,72,258,88,72,51,15,1,14,30,54,0.341,0.442,0.57,2,8,NA,9,51,66,0.77,319,2023,hitter,147,16,1,15,A Baeza,58,1.012,0.22899999999999993,0.15987460815047022,0.16927899686520376,0.0438871473354232,0.09404388714733543,0.43333228840125393
48,J Williams,Great Falls Voyagers,83,304,103,85,30,16,0,12,28,54,0.339,0.407,0.51,9,6,NA,21,91,54,1.69,349,2023,hitter,155,16,0,16,J Williams,75,0.917,0.17099999999999999,0.08595988538681948,0.15472779369627507,0.034383954154727794,0.08022922636103152,0.39927220630372495
49,C Monroe,Idaho Falls Chukars,27,101,34,20,14,6,0,4,10,25,0.337,0.424,0.515,2,1,NA,1,22,19,1.16,118,2023,hitter,52,6,0,6,C Monroe,24,0.9390000000000001,0.178,0.11864406779661017,0.211864406779661,0.03389830508474576,0.0847457627118644,0.4105593220338983
50,D Poteet,Boise Hawks,68,250,84,52,38,24,5,9,38,62,0.336,0.421,0.58,1,3,NA,4,53,44,1.2,292,2023,hitter,145,29,5,24,D Poteet,46,1.001,0.24399999999999994,0.13013698630136986,0.21232876712328766,0.030821917808219176,0.13013698630136986,0.4290513698630137
51,E Diaz,Colorado Springs Sky Sox,75,286,96,48,34,23,0,2,25,64,0.336,0.409,0.437,2,1,NA,5,82,39,2.1,323,2023,hitter,125,23,0,23,E Diaz,71,0.846,0.10099999999999998,0.10526315789473684,0.19814241486068113,0.006191950464396285,0.07739938080495357,0.37581114551083594
