player_name,team,season,gp,pa,ab,h,x2b,x3b,hr,bb,hbp,sf,k,x1b,avg,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,xbh,xbh_rate,lg_obp,lg_slg,ops_plus
A Adams,Rocky Mountain Vibes,2025,39,150,119,37,5,0,2,21,6,2,41,30,0.31092436974789917,0.43243243243243246,0.40336134453781514,0.8357937769702476,0.09243697478991596,0.14,0.2733333333333333,0.01333333333333333,7,0.04666666666666667,0.43016503667481665,0.5454872866095224,74
A Amicangelo,Billings Mustangs,2021,73,304,275,105,0,0,5,29,0,0,39,100,0.38181818181818183,0.4407894736842105,0.43636363636363634,0.8771531100478469,0.05454545454545451,0.09539473684210528,0.12828947368421054,0.01644736842105263,5,0.01644736842105263,0.38673711547933554,0.40390518846560314,122
A Armstrong,Ogden Raptors,2021,62,192,174,48,0,0,1,18,0,0,30,47,0.27586206896551724,0.34375,0.29310344827586204,0.6368534482758621,0.0172413793103448,0.09375,0.15625,0.00520833333333333,1,0.00520833333333333,0.38673711547933554,0.40390518846560314,61
A Atwood,Great Falls Voyagers,2021,27,95,88,26,0,0,0,7,0,0,22,26,0.29545454545454547,0.3473684210526316,0.29545454545454547,0.6428229665071771,0,0.07368421052631578,0.23157894736842105,0,0,0,0.38673711547933554,0.40390518846560314,63
A Atwood,Great Falls Voyagers,2022,22,107,92,31,6,1,3,11,2,2,14,21,0.33695652173913043,0.411214953271028,0.5217391304347826,0.9329540837058106,0.18478260869565216,0.102803738317757,0.1308411214953271,0.02803738317757009,10,0.09345794392523364,0.40321965362020296,0.5054686478713669,105
A Baeza,Boise Hawks,2023,72,319,258,88,15,1,14,51,2,8,54,58,0.34108527131782945,0.44200626959247646,0.5697674418604651,1.0117737114529417,0.22868217054263568,0.15987460815047022,0.16927899686520376,0.0438871473354232,30,0.09404388714733544,0.4157126208267636,0.5195080916519789,116
A Bernard,Missoula PaddleHeads,2023,57,226,182,53,6,1,6,36,4,4,46,40,0.29120879120879123,0.41150442477876104,0.4340659340659341,0.8455703588446951,0.14285714285714285,0.1592920353982301,0.20353982300884957,0.02654867256637168,13,0.05752212389380531,0.4157126208267636,0.5195080916519789,83
A Bond,Billings Mustangs,2021,25,67,57,14,0,0,1,10,0,0,25,13,0.24561403508771928,0.3582089552238806,0.2982456140350877,0.6564545692589683,0.05263157894736842,0.14925373134328357,0.373134328358209,0.01492537313432835,1,0.01492537313432835,0.38673711547933554,0.40390518846560314,66
A Buendia,Rocky Mountain Vibes,2021,32,112,106,33,0,0,1,6,0,0,15,32,0.3113207547169811,0.3482142857142857,0.33962264150943394,0.6878369272237197,0.02830188679245282,0.05357142857142857,0.13392857142857142,0.00892857142857142,1,0.00892857142857142,0.38673711547933554,0.40390518846560314,74
A Chouinard,Grand Junction Jackalopes,2023,46,173,145,50,8,0,6,16,9,2,37,36,0.3448275862068966,0.436046511627907,0.5241379310344828,0.9601844426623898,0.17931034482758623,0.09248554913294796,0.2138728323699422,0.03468208092485549,14,0.08092485549132948,0.4157126208267636,0.5195080916519789,106
A Chouinard,Rocky Mountain Vibes,2025,57,220,189,70,18,0,4,21,6,4,33,48,0.3703703703703703,0.4409090909090909,0.5291005291005291,0.97000962000962,0.15873015873015872,0.09545454545454546,0.15,0.01818181818181818,22,0.1,0.43016503667481665,0.5454872866095224,99
A Cootway,Billings Mustangs,2026,60,297,225,77,19,1,15,56,13,3,65,42,0.3422222222222222,0.4915824915824916,0.6355555555555555,1.1271380471380472,0.29333333333333333,0.18855218855218855,0.21885521885521889,0.0505050505050505,35,0.11784511784511784,0.45414410662224075,0.5942808322444467,115
