"player_name","team","season","pa","ops","iso","scout_grade","signing_probability","signed_by_mlb_org"
"L Sparks","Missoula PaddleHeads",2022,406,1.126,0.266,68.9155493075109,0.0145446320608733,1
"B Cermenelli","Missoula PaddleHeads",2026,126,1.142,0.289,71.8029333498989,0.0145324290247616,0
"J Raper","Glacier Range Riders",2023,407,0.857,0.177,48.5637571484023,0.0145252008186644,0
"G Lora","Billings Mustangs",2024,176,0.876,0.148,48.9417803891933,0.0143854751452785,0
"T Kelly","Idaho Falls Chukars",2022,161,0.981,0.196,61.0140427700714,0.0142186167467466,0
"A Davis","Rocky Mountain Vibes",2024,429,0.918,0.172,50.2332515234479,0.0142143910305113,0
"R Gonzalez","Idaho Falls Chukars",2024,151,1.103,0.144,44.2463840822327,0.0141877363216355,0
"J Malec","Great Falls Voyagers",2022,396,0.736,0.096,27.6138976059466,0.0141380149452961,0
"B Cannon","Modesto Roadsters",2026,281,1.007,0.215,68.1006043981294,0.0141345060489784,0
"R Paller","Idaho Falls Chukars",2023,126,0.93,0.202,57.7903290934554,0.0140456638313199,0
"E Smith","Grand Junction Jackalopes",2023,133,0.948,0.206,48.0117149534237,0.0140306391184346,0
"D Connors","Ogden Raptors",2022,379,0.856,0.145,45.5984099627234,0.0139137393931925,0
"M Dinesen","Glacier Range Riders",2023,335,0.819,0.158,37.9723479022622,0.0138811726455725,0
"S Troyer","Idaho Falls Chukars",2023,263,0.767,0.075,27.8697252612881,0.013611340765598,0
"B Blackford","Yuba-Sutter Freebirds",2024,343,0.975,0.235,59.6533942279647,0.0135808265995332,0
"J McHenry","Billings Mustangs",2026,265,0.983,0.23,64.2379045987227,0.0135483302446941,0
"J Hubbard","Grand Junction Jackalopes",2023,460,1.006,0.283,66.5476800945644,0.0133820200543642,0
"C Vaughan","Idaho Falls Chukars",2026,204,0.929,0.148,46.6369013714064,0.0133122222924594,0
"J Gonzalez","Yuba-Sutter Freebirds",2024,392,1.113,0.27,70.2106187242891,0.0133116748941199,0
"E Sanchez","Billings Mustangs",2023,132,0.764,0.094,34.1385643957654,0.0132061922078882,0
"E Yake","Rocky Mountain Vibes",2024,405,0.913,0.103,39.1317835979105,0.0130688059327557,0
"M Jung-Goldberg","Boise Hawks",2025,447,1.154,0.317,78.3819804633652,0.0130374020868983,0
"D Kolbush","Great Falls Voyagers",2022,306,0.815,0.121,36.3429558317038,0.0130022645416047,0
"T Garcia","Rocky Mountain Vibes",2025,335,0.939,0.119,41.2924787102061,0.0128767539817213,0
"S Wilmer","Oakland Ballers",2024,357,0.906,0.176,49.4434135877408,0.0128692550067744,0
"G Morgan","Idaho Falls Chukars",2025,222,0.879,0.14,50.0975272057498,0.0128473371295505,0
"M Soper","Billings Mustangs",2026,296,0.952,0.212,63.885940128494,0.0128377533009742,0
"H Hisky","Idaho Falls Chukars",2022,450,0.873,0.157,49.7029258588062,0.0128159759385714,0
"D Hernandez","Rocky Mountain Vibes",2022,273,0.886,0.199,47.5455487125935,0.01276016033064,0
"D Stone","Ogden Raptors",2025,382,0.997,0.137,47.1927177128353,0.0126929633255985,0
"A Shaver","Billings Mustangs",2025,314,0.88,0.178,46.307843977006,0.0126061017808827,0
"L Barns","Ogden Raptors",2024,360,0.759,0.076,30.2632098545334,0.0125467061273864,0
"D Tofteland","Rocky Mountain Vibes",2025,429,1.012,0.217,58.8064207670925,0.0124316579260241,0
"A Sequera","Boise Hawks",2022,225,0.944,0.158,47.1142355045002,0.0124302218660019,0
"P Howard","Ogden Raptors",2024,426,0.875,0.11,34.1591799113372,0.0123589576736126,0
"M O'Hara","Oakland Ballers",2025,121,0.824,0.1,26.6016301733327,0.0123525476347214,0
"K Higgins","Colorado Springs Sky Sox",2022,352,0.815,0.084,28.2174903141166,0.0123025899215886,0
"S Gozzo","Ogden Raptors",2023,253,0.898,0.132,49.9817341330725,0.0122911554968841,0
"M Sykes","Rocky Mountain Vibes",2024,181,0.798,0.12,33.3265953171913,0.0122506147448465,0
"A Pimentel","Grand Junction Jackalopes",2025,394,1.04,0.262,70.4196463241428,0.0122166294719318,0
"D Wilkinson","Ogden Raptors",2025,236,0.866,0.109,44.1303352074803,0.0121331442131784,0
"K Willman","Missoula PaddleHeads",2022,298,0.868,0.147,43.0780081040584,0.0119521422627612,1
"E Apodaca","Missoula PaddleHeads",2026,310,0.987,0.181,61.025947159143,0.0118889309505702,0
"B Daniel","Great Falls Voyagers",2022,410,0.943,0.189,55.4798853146924,0.0118650495659961,0
"E Corona","Great Falls Voyagers",2025,302,0.909,0.216,48.6678781855596,0.0117594869118111,0
"N Popa","Grand Junction Jackalopes",2022,433,0.975,0.12,37.0731130115982,0.0115203390463289,0
"L Meyer","Boise Hawks",2026,251,0.917,0.136,45.6025496929727,0.0112797244974379,0
"D Macaluso","Ogden Raptors",2022,146,0.908,0.206,52.5697359534595,0.0112257459741379,0
"M O'Connor","Missoula PaddleHeads",2023,391,0.959,0.261,63.8505190019818,0.0111691978940867,0
"M Koszewski","Missoula PaddleHeads",2026,306,0.924,0.131,52.2556216636148,0.0111546880834411,0
"B Fitzgerald","Glacier Range Riders",2024,315,1.014,0.299,67.8487533992143,0.0110530471298503,0
"H George","Colorado Springs Sky Sox",2023,410,1.048,0.25,69.8283139962656,0.0110430313790861,0
"J Broughton","Ogden Raptors",2022,412,1.045,0.227,59.8419821761733,0.0109906021042642,0
"P Harden","Oakland Ballers",2024,365,0.825,0.097,35.6803474531164,0.0108925484876568,0
"S Barmakian","Idaho Falls Chukars",2022,448,0.878,0.13,42.9363172029578,0.010812485108786,0
"G Horvat","RedPocket Mobiles",2026,157,0.851,0.118,40.0587314458894,0.0108052248180976,0
"E Ott","Great Falls Voyagers",2026,263,1.003,0.259,63.5658635186147,0.0107986292745422,0
"C Horner","Ogden Raptors",2023,209,0.742,0.108,34.7949237428256,0.0107513341520029,1
"E Berkey","Yuba-Sutter Freebirds",2025,354,1.136,0.301,72.5786201016412,0.010734533420861,0
"K Kaler","Boise Hawks",2024,210,0.91,0.134,51.0469216858217,0.0106978256740354,0
"T Fontenot","Ogden Raptors",2025,426,0.907,0.159,40.3679759037287,0.0106552799380327,0
"K Ashworth","Glacier Range Riders",2026,260,1.061,0.145,53.2958642506705,0.0103581361296502,0
"A Folds","Boise Hawks",2026,178,0.948,0.144,54.4671265289259,0.0102727642815283,0
"M Golda","Grand Junction Jackalopes",2023,199,0.798,0.103,38.5004885908455,0.0101291493693953,0
"M O’Hara","Boise Hawks",2026,147,0.981,0.156,52.2824030750394,0.0101282024140176,0
"K Moody","Colorado Springs Sky Sox",2025,335,0.971,0.193,61.6383671705891,0.0100861673485983,0
"T Jorgensen","Boise Hawks",2022,460,0.762,0.103,34.4280907769798,0.0100522507622428,0
"T Specht","Great Falls Voyagers",2025,419,0.836,0.162,44.8807050146782,0.00986917188425137,0
"W Grant","Boise Hawks",2026,179,0.908,0.175,53.4855809255356,0.00969734115835637,0
"X Washington","Great Falls Voyagers",2024,438,1.036,0.211,54.9497152629797,0.00964086262708254,0
"E Pelc","Long Beach Coast",2026,321,1.12,0.194,63.870956521943,0.0096263785148286,0
"T Halsema","Idaho Falls Chukars",2023,405,0.858,0.148,45.4030379303139,0.00942759500241551,0
"A Mata","Idaho Falls Chukars",2025,309,0.893,0.154,41.8770631925097,0.00923392989547718,0
"B Hueth","Idaho Falls Chukars",2022,291,0.841,0.13,43.1520393562862,0.00918819810207044,0
"D Leach","Billings Mustangs",2024,163,1.006,0.256,68.0281580529256,0.00878768922866769,0
"A Manisero","Great Falls Voyagers",2026,120,1.011,0.224,59.2741591248428,0.00878555042533223,0
"D Stroup","Rocky Mountain Vibes",2023,450,1.064,0.266,70.776053223743,0.00873913317143223,0
"T Lewis","Ogden Raptors",2022,289,0.814,0.15,37.5691281570706,0.00858625906123856,0
"B Crosby","Rocky Mountain Vibes",2023,334,0.875,0.145,43.0946469632039,0.00856976160041935,0
"P Chung","Missoula PaddleHeads",2024,434,1.061,0.21,62.4787622547624,0.0085359382025026,0
"M Hogan","Rocky Mountain Vibes",2023,187,0.975,0.277,68.0725588981169,0.00848468940101182,0
"C Booth","Rocky Mountain Vibes",2025,449,0.884,0.129,38.0128850702771,0.00824048876223405,0
"C Vest","Long Beach Coast",2026,292,1.009,0.217,62.5112949495096,0.00812890617534836,0
"N Ultsch","Boise Hawks",2024,414,0.947,0.18,48.3230207496518,0.00805106502249416,0
"T Darden","Boise Hawks",2025,452,1.209,0.256,71.6446760669074,0.00803304909175678,0
"R Jepson","Great Falls Voyagers",2023,385,0.954,0.115,44.9609959568528,0.00801990943073717,0
"K Figueiredo","Grand Junction Jackalopes",2023,200,1.134,0.291,77.1225709217027,0.00795972331820834,0
"E Peralta","Rocky Mountain Vibes",2023,355,0.856,0.142,37.817599371068,0.00793735750539117,0
"M Bardowell","Long Beach Coast",2026,237,1.063,0.256,62.7206806722685,0.00759106532988599,0
"J Shanks","Idaho Falls Chukars",2024,196,0.869,0.162,41.518795332813,0.00715082629518764,0
"N Marcelo","Boise Hawks",2025,486,0.973,0.201,54.2429916848516,0.00703892091551154,0
"Z Roos","Grand Junction Jackalopes",2025,446,1.038,0.231,65.3084949044671,0.00690632331727417,0
"A Hanson","Rocky Mountain Vibes",2022,221,0.811,0.158,39.0982628676482,0.00690628573505888,0
"B Ryan","Billings Mustangs",2024,411,0.981,0.196,58.7031801154104,0.00678437137975033,0
"C Valentine","Ogden Raptors",2026,334,1.129,0.293,68.2527181679498,0.00661390735604742,0
"B Dansereau","Ogden Raptors",2022,391,0.98,0.212,50.6061970930474,0.00654895820808524,0
"A Swenda","Great Falls Voyagers",2025,291,0.923,0.188,53.245163213537,0.00649964779020659,0
"B Bishop","RedPocket Mobiles",2026,161,1.065,0.31,70.0689203622946,0.00604211681280321,0
"K Whatley","Missoula PaddleHeads",2022,149,0.814,0.136,32.637224712335,0.0058213865062399,0
"A Cootway","Billings Mustangs",2026,243,1.126,0.278,69.9260794176978,0.00580363536034452,0
"J Kirby","Yuba-Sutter Freebirds",2024,117,0.958,0.271,66.0102772391772,0.00525194812575661,0
"D Poteet","Boise Hawks",2023,292,1.001,0.244,59.3735265067706,0.00522675984672727,0
"C Petersen","Grand Junction Jackalopes",2022,323,1.09,0.261,64.5729648151529,0.00522663849328352,0
"J Boyd","Modesto Roadsters",2026,216,0.914,0.18,52.8406442069721,0.00511898026689143,0
"O Serratos Jr.","Great Falls Voyagers",2024,243,0.868,0.149,37.9727369345848,0.00475650253751223,0
"B Brown","Idaho Falls Chukars",2023,274,0.958,0.142,42.830484423581,0.00470914810114104,0
"W Ponce","Great Falls Voyagers",2026,128,0.909,0.155,53.4801259462834,0.00460388759061246,0
"B Rosengard","Idaho Falls Chukars",2025,284,1.274,0.253,70.2206365730566,0.00452008958084807,0
"R Major","Great Falls Voyagers",2024,383,0.902,0.177,46.0486653144803,0.00439601436828516,0
"P Myro IV","Boise Hawks",2025,402,0.914,0.12,37.9902966812008,0.00439085024891937,0
"H Himrich","Rocky Mountain Vibes",2025,119,0.814,0.116,26.7487174323767,0.00433677257812608,0
"V Temesvary","Great Falls Voyagers",2026,255,1.132,0.29,73.2571105915684,0.00428496886731947,0
"E Paton","Glacier Range Riders",2025,137,0.991,0.227,58.9821045664525,0.00388125669467609,0
"C Phelts","Ogden Raptors",2023,392,0.874,0.121,42.0591761506914,0.00383736166367383,0
"J Kline","Billings Mustangs",2022,248,0.936,0.234,50.0640992037397,0.00376639744928213,0
"J Rooks","Billings Mustangs",2024,131,0.957,0.189,52.8951353781855,0.00373177053363666,0
"T Hardy","Idaho Falls Chukars",2024,101,0.95,0.143,43.3827120750641,0.00369774436130822,0
"B Nigh","Boise Hawks",2026,110,1.115,0.278,73.1061426018762,0.0036816184960351,0
"M Backstrom","Great Falls Voyagers",2024,202,1.132,0.356,65.6712563539504,0.00351406556661187,0
"P Robertson","Colorado Springs Sky Sox",2023,408,1.012,0.219,62.6305008482059,0.00325793856182315,0
"M Edie","Billings Mustangs",2023,283,0.85,0.135,32.3594566998409,0.00286048028082332,0
"J Lee","Boise Hawks",2025,124,0.822,0.139,33.5004320124004,0.0019928286476056,0
"A Fernandes","Glacier Range Riders",2026,131,1.115,0.225,64.7412143667043,0.00151183645473395,0
"B Wright","Billings Mustangs",2026,189,1.027,0.326,67.4806051843655,0.000596030062274508,0
