"player_name","team","season","pa","ops","iso","scout_grade","signing_probability","signed_by_mlb_org"
"G Lyttle","Great Falls Voyagers",2021,122,0.853,0.061,42.27920004225,0.0652621920238254,0
"A Amicangelo","Billings Mustangs",2021,304,0.877,0.054,37.1316074852874,0.0648845291290203,0
"R Orsak","Yuba-Sutter Freebirds",2025,426,0.986,0.213,63.9431683819114,0.0645556113289519,0
"E Rosales","Rocky Mountain Vibes",2021,303,0.727,0.1,38.4963509922802,0.0640334663291971,0
"G Brusa","Yuba-Sutter Freebirds",2025,407,1.044,0.309,69.9342053969513,0.0601231665801204,0
"J Hjelle","Boise Hawks",2025,428,1.016,0.297,62.0273653862452,0.0597124933930966,0
"N Blythe","Oakland Ballers",2026,225,0.875,0.19,55.2249082012508,0.059676722797638,0
"X Casserilla","Missoula PaddleHeads",2026,285,1.234,0.34,76.3385599440987,0.0579469957610961,0
"S Rivas","Rocky Mountain Vibes",2024,443,1.064,0.331,65.1226333800427,0.057839700980292,0
"B Riley","Missoula PaddleHeads",2021,372,0.786,0.047,38.2116198341326,0.0568360687094575,0
"S Kuchinski","Grand Junction Jackalopes",2024,224,1.011,0.289,70.5271460803759,0.0567517015801746,0
"S Jabusch","Great Falls Voyagers",2021,425,0.739,0.075,39.9586755300428,0.056595206172802,0
"B Lada","Yuba-Sutter Freebirds",2025,433,0.902,0.22,57.325277723336,0.0554199177325591,0
"G Lora Gonzalez","Rocky Mountain Vibes",2025,376,0.925,0.194,57.5854209728533,0.0552362307842439,0
"T Viola","Boise Hawks",2024,445,1.066,0.296,66.4587185278846,0.0538837647999436,0
"K Dugan","Grand Junction Jackalopes",2024,277,1.18,0.342,76.4275279058303,0.053865669368393,0
"J Harrison-Dudley","RedPocket Mobiles",2026,230,1.162,0.402,73.3971334499708,0.0523797281567172,0
"Z Zurbrugg","Great Falls Voyagers",2021,105,0.692,0,37.5904823011344,0.0517479154459729,0
"N Klemp","Missoula PaddleHeads",2026,320,1.062,0.298,76.8470081362646,0.051288368754145,0
"M Miller","Boise Hawks",2021,367,0.777,0.055,33.8406050728074,0.0512858713202639,1
"B Broussard","Billings Mustangs",2021,262,0.6,0.055,37.4286128796736,0.050888405889905,0
"C Perez","Missoula PaddleHeads",2025,258,0.858,0.166,50.4788215155765,0.0503793674715024,0
"N Scantlin","Grand Junction Jackalopes",2021,275,0.862,0.064,37.0790199078498,0.0496507679224388,0
"R Washington Jr.","Grand Junction Jackalopes",2023,420,1.056,0.266,71.7704059843617,0.049316613336017,0
"D Stuart","Oakland Ballers",2024,163,0.938,0.192,60.4158549465806,0.0492098991259934,0
"M Harris","Boise Hawks",2021,185,0.691,0.113,42.7688819546789,0.0487564212469542,0
"C Bufford","Oakland Ballers",2025,387,1,0.248,58.7571980527849,0.0485688965386547,0
"C Sargent","Ogden Raptors",2024,401,0.914,0.226,58.6243941421112,0.0469694587267684,0
"D Cornett","Billings Mustangs",2021,106,0.61,0.031,32.3780886834885,0.0467923485079605,0
"B Parr","Billings Mustangs",2021,124,0.728,0.051,30.2884862970825,0.0466459369653519,0
"J Fitzpatrick","Grand Junction Jackalopes",2022,177,0.942,0.2,51.2122209867732,0.0465965183523437,0
"O Taylor","Ogden Raptors",2021,217,0.773,0.066,38.1108700551571,0.0464731702167688,0
"M Yonamine","Boise Hawks",2024,467,0.979,0.236,59.7276930065294,0.0458664980637655,0
"J Pappas","Idaho Falls Chukars",2025,283,1.064,0.209,69.0780060079025,0.0454669100487426,0
"N Emanuel","Great Falls Voyagers",2021,121,0.655,0,34.3575725399172,0.0453041089941643,0
"J Anderson","Grand Junction Jackalopes",2021,188,0.709,0.036,32.3697260873156,0.0451974050924597,0
"D Hubbard","Oakland Ballers",2024,396,0.922,0.217,61.1453044074005,0.0450810804940394,0
"C Hall","Ogden Raptors",2025,268,1.042,0.284,72.8312342434138,0.0442457155319934,0
"N Michaels","Ogden Raptors",2021,284,0.81,0.0580000000000001,30.0013751137942,0.0441422206338716,0
"B Vradenburg","Glacier Range Riders",2026,119,1.005,0.253,73.2531232767223,0.0440000709249449,0
"D Perez","Colorado Springs Sky Sox",2023,245,1.013,0.234,75.675549743085,0.0433525426249529,0
"C Middleton","Grand Junction Jackalopes",2022,176,0.894,0.214,54.7204036244099,0.0433498840916726,0
"F Achecar","Billings Mustangs",2021,197,0.703,0.051,30.1301693269402,0.0429613979360805,0
"A Elder","Grand Junction Jackalopes",2021,185,0.616,0.018,32.1178729567165,0.0429457742742248,0
"J Williams","Great Falls Voyagers",2023,349,0.917,0.171,51.1237017445151,0.0424762954089327,0
"C Bagnieski","Ogden Raptors",2025,424,1.074,0.257,76.7343081370125,0.0418959248377241,0
"J Elvir","Grand Junction Jackalopes",2022,354,0.948,0.246,59.6185411952277,0.0417397776916154,0
"D Gomez","Colorado Springs Sky Sox",2024,381,1.142,0.348,70.9505198315621,0.0411179010841309,0
"D Harris IV","Oakland Ballers",2025,413,0.847,0.163,47.5210556638994,0.0408972626331868,0
"T Van Marter","Idaho Falls Chukars",2021,208,0.713,0.016,30.9406366341648,0.040621536173904,0
"E Blum","Billings Mustangs",2024,142,0.918,0.227,57.2253688936825,0.0397276177139425,0
"C Gallardo","Rocky Mountain Vibes",2021,194,0.576,0.018,31.7046225726537,0.0396006518767315,0
"M Clayton","Glacier Range Riders",2023,320,0.926,0.21,61.0640211663427,0.0391983120589748,0
"A Armstrong","Ogden Raptors",2021,192,0.637,0.017,29.9362894733023,0.0391899306212813,0
"A Guadalupe","Colorado Springs Sky Sox",2023,366,0.985,0.241,63.4196630400979,0.0389669439636543,0
"A Don","Idaho Falls Chukars",2021,287,0.691,0.047,29.6056674228756,0.0386503454344604,0
"A Buendia","Rocky Mountain Vibes",2021,112,0.688,0.029,29.599394942825,0.0379548253365532,0
"J Guenther","Missoula PaddleHeads",2023,393,0.898,0.119,49.4212366136687,0.0375255865498097,0
"D Williams","Grand Junction Jackalopes",2023,112,0.802,0.119,41.9886866913623,0.0369896321226089,0
"M Skundrich","Billings Mustangs",2021,248,0.629,0.041,28.8561673427332,0.0367537681000673,0
"A Sanchez","Missoula PaddleHeads",2024,353,1.023,0.281,66.9334306897083,0.0360405754201112,0
"T Williams","Modesto Roadsters",2026,166,1.014,0.204,60.2167418088223,0.0359648739355339,0
"N Martinez","Oakland Ballers",2024,400,1.017,0.255,69.9119687357283,0.0359626941957768,0
"J Valdez","Ogden Raptors",2022,437,1.045,0.243,64.1467367391449,0.0358462429131347,0
"C Kirtley","Glacier Range Riders",2023,267,1.017,0.285,70.1741083072737,0.0356534137626376,0
"G Barnes","Rocky Mountain Vibes",2021,249,0.695,0.038,26.4253750826716,0.0355041394856301,0
"J McMurray","Rocky Mountain Vibes",2023,239,1.032,0.068,39.0214924015326,0.0354029207377763,0
"J Trimble","Idaho Falls Chukars",2026,247,1.348,0.439,73.2351617076799,0.034917936287343,0
"D Stengren","Idaho Falls Chukars",2026,152,0.935,0.139,52.0713258610587,0.0346259805134711,0
"T Brunson","Great Falls Voyagers",2021,127,0.682,0.052,26.7794328665484,0.0346068768658641,0
"G Wurtz","Billings Mustangs",2023,402,0.996,0.239,60.8707882787865,0.0340940802740369,0
"U Cantu","Rocky Mountain Vibes",2022,386,0.954,0.193,54.7604227932226,0.0338729237026969,0
"C Hext","Yuba-Sutter Freebirds",2025,392,0.902,0.204,55.0399451816153,0.0336570111903006,0
"C Estrada","Idaho Falls Chukars",2022,249,1.236,0.298,78.3842730894636,0.0333691226939903,0
"J Esparza","Rocky Mountain Vibes",2021,259,0.59,0.059,26.0624057940023,0.0333308472985485,0
"W Mitchell","Idaho Falls Chukars",2026,256,0.893,0.204,54.5785293984887,0.0332640365576865,0
"O Johnson","Modesto Roadsters",2026,280,1.227,0.315,76.1613615832855,0.0332272340273412,0
"Z Chamizo","Yuba-Sutter Freebirds",2026,281,1.018,0.231,66.6967945850538,0.0327298208620238,0
"J Coutts","Colorado Springs Sky Sox",2024,412,1.052,0.25,64.5225067899907,0.0323375057851687,0
"K Liniak","Modesto Roadsters",2026,220,0.965,0.237,67.8493683900366,0.0321682482034407,0
"S Linscott","Rocky Mountain Vibes",2025,423,1.033,0.191,55.1180426209957,0.0316601971046085,0
"K Stancato","Ogden Raptors",2025,188,0.914,0.185,58.1133090568874,0.031502090387258,0
"C Muniz","Billings Mustangs",2026,303,1.165,0.311,77.4280742741931,0.0314858166915763,0
"S Gutierrez","Missoula PaddleHeads",2026,136,0.913,0.177,52.3464154126577,0.0310999872056583,0
"B Perez","Rocky Mountain Vibes",2021,303,0.58,0.031,25.2648937960412,0.030960166308443,0
"G Ferraro-Nahr","Ogden Raptors",2026,245,1.275,0.347,78.4943148788183,0.0308753859378226,0
"H Nieves","RedPocket Mobiles",2026,115,0.96,0.283,65.0675709175281,0.03084833147735,0
"K Greenwalt","Missoula PaddleHeads",2023,420,1.017,0.258,67.7183348428913,0.0308202412857986,0
"L Navarro","Missoula PaddleHeads",2023,300,1.007,0.191,61.7373284667225,0.0301408324617529,0
"I Nunez","Grand Junction Jackalopes",2025,415,1.006,0.199,63.392635419176,0.0298788677398017,0
"W Bermudez","Missoula PaddleHeads",2026,242,1.041,0.271,72.3258695320952,0.0296851512168442,0
"L Helmig","Oakland Ballers",2025,314,0.884,0.147,47.7459877577746,0.0292665570424793,0
"S Coffman","Grand Junction Jackalopes",2025,378,1.007,0.19,55.5130031566864,0.0292215369864835,0
"R Gil","Boise Hawks",2022,373,0.883,0.233,56.4072275242038,0.0291790640962613,0
"A Rios","Grand Junction Jackalopes",2024,399,1.01,0.22,63.4032373493484,0.0291165582341964,0
"R Narea","Ogden Raptors",2023,359,0.847,0.14,46.7872277242268,0.0290758645957597,0
"C Castaneda","Grand Junction Jackalopes",2025,326,0.949,0.183,51.5348524198779,0.0290454568548558,0
"C Lopez","Rocky Mountain Vibes",2022,278,0.865,0.119,42.8918694607193,0.0288258117140591,0
"J Barth","Billings Mustangs",2022,274,0.744,0.112,39.7908597761771,0.028698460433934,0
"T McCaffrey","Idaho Falls Chukars",2025,240,0.917,0.192,52.2805783535701,0.0285088081233948,0
"A Fogel","Missoula PaddleHeads",2024,428,1.268,0.385,76.0417506646369,0.0284933006817742,0
"J Allgeyer","Oakland Ballers",2026,256,1.007,0.23,70.4951452407766,0.0284442529057051,0
"E Pagani","Yuba-Sutter Freebirds",2026,125,0.748,0.082,36.98175649799,0.0283704693878662,0
"J Lojewski","Modesto Roadsters",2026,314,0.99,0.217,64.2904921761603,0.0280904100129061,0
