rk,name,team,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k_9,hr,whip,bf,wp,hbp,season,player_type,ip_raw,bb_9,hr_9,h_9,k_bb,k_pct,bb_pct,k_minus_bb_pct,gs_pct,league_era,league_fip_component,fip_constant,fip,pitcher_role,eligible,k_bb_pct,era_score,fip_score,whip_score,command_score,workload_score,pitcher_score_0_1,reliability,pitcher_signal,pitcher_z,pitcher_scout_grade
12,A Solis,Rocky Mountain Vibes,8.55,0,0,15,13,0,67.33333333333333,102,74,64,31,62,8.29,NA,1.98,NA,NA,NA,2021,pitcher,67.1,4.143564356435644,NA,13.633663366336634,2,NA,NA,NA,0.8666666666666667,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.2835820895522388,0.5,0.29850746268656714,0.5,0.9104477611940298,0.508955223880597,0.6917808219178082,0.006195052136577374,-0.09477689399838021,40
14,M Schwellenbach,Missoula PaddleHeads,4.27,0,0,19,11,0,65.33333333333333,73,42,31,28,64,8.82,NA,1.55,NA,NA,NA,2021,pitcher,65.1,3.857142857142857,NA,10.056122448979592,2.2857142857142856,NA,NA,NA,0.5789473684210527,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.8432835820895522,0.5,0.7164179104477612,0.5,0.9029850746268657,0.6335820895522388,0.6853146853146853,0.09154576766517067,1.9871742459423136,55
15,Z Penrod,Boise Hawks,5.97,0,0,13,13,0,63.333333333333336,60,46,42,40,72,10.23,NA,1.58,NA,NA,NA,2021,pitcher,63.1,5.684210526315789,NA,8.526315789473683,1.8,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.5895522388059702,0.5,0.6940298507462687,0.5,0.8955223880597015,0.5921641791044776,0.6785714285714285,0.06253997867803837,1.2796390475243395,50
16,A Bond,Billings Mustangs,5.89,0,0,11,10,0,62.666666666666664,72,42,41,19,55,7.9,NA,1.45,NA,NA,NA,2021,pitcher,62.2,2.7287234042553195,NA,10.340425531914894,2.8947368421052633,NA,NA,NA,0.9090909090909091,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.6044776119402985,0.5,0.7985074626865671,0.5,0.8880597014925373,0.603731343283582,0.6762589928057554,0.07014925373134324,1.4652513036517425,50
17,J Ochoa,Rocky Mountain Vibes,8.03,0,0,18,13,0,61.666666666666664,80,60,55,35,46,6.71,NA,1.86,NA,NA,NA,2021,pitcher,61.2,5.108108108108108,NA,11.675675675675675,1.3142857142857145,NA,NA,NA,0.7222222222222222,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.34328358208955223,0.5,0.417910447761194,0.5,0.8731343283582089,0.5242537313432836,0.6727272727272727,0.016316146540027127,0.15210591067653076,40
17,E Rosales,Rocky Mountain Vibes,9.78,0,0,34,8,0,61.666666666666664,103,81,67,40,55,8.03,NA,2.32,NA,NA,NA,2021,pitcher,61.2,5.837837837837838,NA,15.032432432432431,1.375,NA,NA,NA,0.23529411764705882,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.19402985074626866,0.5,0.13432835820895522,0.5,0.8731343283582089,0.4735074626865672,0.6727272727272727,-0.017822252374491167,-0.6806285086620029,35
19,N Lang,Billings Mustangs,3.96,0,0,37,2,0,61.333333333333336,66,30,27,21,52,7.63,NA,1.42,NA,NA,NA,2021,pitcher,61.1,3.0815217391304346,NA,9.684782608695652,2.4761904761904763,NA,NA,NA,0.05405405405405406,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.8731343283582089,0.5,0.835820895522388,0.5,0.8656716417910447,0.6444029850746268,0.6715328467153284,0.0969713476413552,2.1195198548373275,55
20,D Silva,Idaho Falls Chukars,5.19,0,0,11,11,0,60.666666666666664,81,37,35,16,49,7.27,NA,1.6,NA,NA,NA,2021,pitcher,60.2,2.3736263736263736,NA,12.016483516483516,3.0625,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.7238805970149254,0.5,0.6791044776119403,0.5,0.8582089552238806,0.6052238805970149,0.6691176470588236,0.07040715539947323,1.4715422722585136,50
21,S Jabusch,Great Falls Voyagers,6.25,0,0,22,8,0,59,79,63,41,31,36,5.49,NA,1.86,NA,NA,NA,2021,pitcher,59,4.728813559322034,NA,12.05084745762712,1.1612903225806452,NA,NA,NA,0.36363636363636365,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.5373134328358209,0.5,0.417910447761194,0.5,0.8507462686567164,0.5499999999999999,0.6629213483146067,0.03314606741573029,0.5626364227557583,45
22,K Gould,Missoula PaddleHeads,4.4,0,0,25,5,0,57.333333333333336,59,32,28,19,57,8.95,NA,1.36,NA,NA,NA,2021,pitcher,57.1,2.9825581395348837,NA,9.261627906976743,3,NA,NA,NA,0.2,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.835820895522388,0.5,0.9029850746268657,0.5,0.835820895522388,0.641044776119403,0.6564885496183206,0.09259428050586763,2.0127505107739796,55
22,J Varela,Grand Junction Jackalopes,8.63,0,0,17,10,0,57.333333333333336,84,60,55,24,54,8.48,NA,1.88,NA,NA,NA,2021,pitcher,57.1,3.767441860465116,NA,13.186046511627907,2.25,NA,NA,NA,0.5882352941176471,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.2537313432835821,0.5,0.40298507462686567,0.5,0.835820895522388,0.503731343283582,0.6564885496183206,0.0024495841403668387,-0.18613970585095976,40
24,H Sanchez,Rocky Mountain Vibes,9.79,0,0,20,9,0,57,97,72,62,40,39,6.16,NA,2.4,NA,NA,NA,2021,pitcher,57,6.315789473684211,NA,15.31578947368421,0.975,NA,NA,NA,0.45,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.1865671641791045,0.5,0.11940298507462686,0.5,0.8283582089552238,0.4641791044776119,0.6551724137931034,-0.02346886258363358,-0.8183656850748525,35
25,M Simon,Missoula PaddleHeads,2.86,0,0,33,1,0,56.666666666666664,51,18,18,12,84,13.34,NA,1.11,NA,NA,NA,2021,pitcher,56.2,1.9058823529411768,NA,8.1,7,NA,NA,NA,0.030303030303030304,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.9552238805970149,0.5,0.9850746268656716,0.5,0.8208955223880597,0.6649253731343283,0.6538461538461539,0.10783582089552236,2.3845358226154865,60
26,G Viney,Billings Mustangs,8.31,0,0,15,14,0,56.333333333333336,78,56,52,31,55,8.79,NA,1.93,NA,NA,NA,2021,pitcher,56.1,4.952662721893491,NA,12.461538461538462,1.7741935483870968,NA,NA,NA,0.9333333333333333,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.30597014925373134,0.5,0.34328358208955223,0.5,0.8134328358208955,0.5022388059701492,0.6525096525096524,0.0014608425056186218,-0.21025797786335146,40
27,M Gabbert,Boise Hawks,6.33,0,0,12,8,0,54,79,41,38,12,36,6,NA,1.69,NA,NA,NA,2021,pitcher,54,2,NA,13.166666666666666,3,NA,NA,NA,0.6666666666666666,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.5298507462686567,0.5,0.5970149253731343,0.5,0.7985074626865671,0.558955223880597,0.6428571428571429,0.03789978678038382,0.678593405528597,45
27,J Slocum,Idaho Falls Chukars,6.83,0,0,14,14,0,54,93,54,41,18,24,4,NA,2.06,NA,NA,NA,2021,pitcher,54,3,NA,15.5,1.3333333333333333,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.4701492537313433,0.5,0.2462686567164179,0.5,0.7985074626865671,0.5149253731343284,0.6428571428571429,0.009594882729211116,-0.0118451794356854,40
29,A Donatella,Ogden Raptors,6.04,0,0,20,9,0,53.666666666666664,78,45,36,15,43,7.21,NA,1.73,NA,NA,NA,2021,pitcher,53.2,2.515527950310559,NA,13.080745341614907,2.8666666666666667,NA,NA,NA,0.45,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.5746268656716418,0.5,0.5522388059701493,0.5,0.7910447761194029,0.5600746268656717,0.6414342629482073,0.03853392400547068,0.6940618490029359,45
30,M Lines,Boise Hawks,5.57,0,0,10,10,0,53.333333333333336,59,42,33,22,43,7.26,NA,1.52,NA,NA,NA,2021,pitcher,53.1,3.7125,NA,9.95625,1.9545454545454544,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.6417910447761194,0.5,0.746268656716418,0.5,0.7835820895522388,0.5884328358208955,0.6399999999999999,0.05659701492537308,1.1346729499016115,50
31,R Aleaziz,Ogden Raptors,7.47,0,0,20,9,0,53,85,48,44,17,47,7.98,NA,1.92,NA,NA,NA,2021,pitcher,53,2.8867924528301887,NA,14.433962264150944,2.764705882352941,NA,NA,NA,0.45,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.41044776119402987,0.5,0.3582089552238806,0.5,0.7761194029850746,0.5138059701492537,0.6385542168674698,0.00881586045675234,-0.030847788823785832,40
32,J Lopez,Rocky Mountain Vibes,9.46,0,0,29,6,0,52.333333333333336,84,65,55,31,45,7.74,NA,2.2,NA,NA,NA,2021,pitcher,52.1,5.3312101910828025,NA,14.445859872611464,1.4516129032258065,NA,NA,NA,0.20689655172413793,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.20149253731343283,0.5,0.1865671641791045,0.5,0.7686567164179104,0.4641791044776119,0.6356275303643725,-0.022768747356335755,-0.801287847044611,35
33,M Miller,Ogden Raptors,6.06,0,0,17,10,0,52,59,45,35,30,65,11.25,NA,1.71,NA,NA,NA,2021,pitcher,52,5.1923076923076925,NA,10.211538461538462,2.1666666666666665,NA,NA,NA,0.5882352941176471,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.5671641791044776,0.5,0.5671641791044776,0.5,0.7611940298507462,0.5559701492537313,0.6341463414634146,0.035493265380414994,0.6198913789442003,45
34,R Martin,Billings Mustangs,5.55,0,0,18,10,0,48.666666666666664,56,35,30,26,39,7.21,NA,1.68,NA,NA,NA,2021,pitcher,48.2,4.808219178082192,NA,10.356164383561644,1.5,NA,NA,NA,0.5555555555555556,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.6492537313432836,0.5,0.6194029850746269,0.5,0.753731343283582,0.5723880597014925,0.6186440677966102,0.04478244371363521,0.846481341315181,45
35,T Chapman,Billings Mustangs,5.59,0,0,37,0,0,48.333333333333336,48,38,30,47,47,8.75,NA,1.97,NA,NA,NA,2021,pitcher,48.1,8.751724137931035,NA,8.937931034482759,1,NA,NA,NA,0,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.6268656716417911,0.5,0.31343283582089554,0.5,0.746268656716418,0.5373134328358209,0.6170212765957447,0.023023181962527783,0.31570992919023466,45
36,C Campbell,Ogden Raptors,6.36,0,0,31,1,0,46.666666666666664,59,35,33,16,45,8.68,NA,1.61,NA,NA,NA,2021,pitcher,46.2,3.085714285714286,NA,11.37857142857143,2.8125,NA,NA,NA,0.03225806451612903,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.5223880597014925,0.5,0.6716417910447762,0.5,0.7313432835820896,0.555223880597015,0.6086956521739131,0.03361453601557435,0.5740637286597727,45
36,M Mixon,Ogden Raptors,6.94,0,0,32,1,0,46.666666666666664,43,38,36,19,37,7.14,NA,1.33,NA,NA,NA,2021,pitcher,46.2,3.6642857142857146,NA,8.292857142857143,1.9473684210526316,NA,NA,NA,0.03125,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.44776119402985076,0.5,0.917910447761194,0.5,0.7313432835820896,0.5686567164179105,0.6086956521739131,0.04179104477611943,0.7735124576988283,45
38,T Budnick,Ogden Raptors,10.45,0,0,23,6,0,45.666666666666664,90,58,53,16,30,5.91,NA,2.32,NA,NA,NA,2021,pitcher,45.2,3.153284671532847,NA,17.737226277372265,1.875,NA,NA,NA,0.2608695652173913,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.1417910447761194,0.5,0.13432835820895522,0.5,0.7089552238805971,0.441044776119403,0.6035242290748899,-0.03558090604247483,-1.1138135032914198,30
38,C Grant-DeBose,Great Falls Voyagers,5.72,0,0,17,6,0,45.666666666666664,43,31,29,25,43,8.47,NA,1.49,NA,NA,NA,2021,pitcher,45.2,4.927007299270073,NA,8.474452554744525,1.72,NA,NA,NA,0.35294117647058826,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.6119402985074627,0.5,0.7761194029850746,0.5,0.7089552238805971,0.5757462686567164,0.6035242290748899,0.04571470839634427,0.8692219769017959,45
38,K Hayes,Great Falls Voyagers,8.08,0,0,11,9,0,45.666666666666664,68,42,41,24,35,6.9,NA,2.01,NA,NA,NA,2021,pitcher,45.2,4.7299270072992705,NA,13.4014598540146,1.4583333333333333,NA,NA,NA,0.8181818181818182,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.3358208955223881,0.5,0.26119402985074625,0.5,0.7089552238805971,0.48283582089552246,0.6035242290748899,-0.010358997961733141,-0.49857811885474274,35
41,C Crader,Grand Junction Jackalopes,6.85,0,0,9,8,0,44.666666666666664,51,35,34,10,32,6.45,NA,1.37,NA,NA,NA,2021,pitcher,44.2,2.0149253731343286,NA,10.276119402985076,3.2,NA,NA,NA,0.8888888888888888,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.4626865671641791,0.5,0.8880597014925373,0.5,0.7014925373134329,0.5634328358208955,0.5982142857142858,0.03794642857142859,0.6797311338936511,45
42,P Wenzel,Missoula PaddleHeads,4.91,0,0,20,4,0,44,51,31,24,28,32,6.55,NA,1.8,NA,NA,NA,2021,pitcher,44,5.7272727272727275,NA,10.431818181818182,1.1428571428571428,NA,NA,NA,0.2,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.7686567164179104,0.5,0.4626865671641791,0.5,0.6940298507462687,0.5656716417910448,0.5945945945945946,0.03904800322710771,0.7066017300675357,45
43,A Kern,Great Falls Voyagers,6.07,0,0,32,1,0,43,55,32,29,27,55,11.51,NA,1.91,NA,NA,NA,2021,pitcher,43,5.651162790697675,NA,11.511627906976743,2.037037037037037,NA,NA,NA,0.03125,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.5597014925373134,0.5,0.3880597014925373,0.5,0.6865671641791045,0.5257462686567165,0.589041095890411,0.015165610304641213,0.1240409997736771,40
44,G Larson,Great Falls Voyagers,3.16,0,0,31,0,0,42.666666666666664,44,19,15,8,44,9.28,NA,1.22,NA,NA,NA,2021,pitcher,42.2,1.6875,NA,9.28125,5.5,NA,NA,NA,0,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.9402985074626866,0.5,0.9552238805970149,0.5,0.6791044776119403,0.6384328358208955,0.5871559633027523,0.08128166506914965,1.7368030572778757,55
45,J Dobrash,Grand Junction Jackalopes,8.64,0,0,11,6,0,41.666666666666664,66,43,40,22,38,8.21,NA,2.11,NA,NA,NA,2021,pitcher,41.2,4.752000000000001,NA,14.256,1.7272727272727273,NA,NA,NA,0.5454545454545454,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.2462686567164179,0.5,0.22388059701492538,0.5,0.6716417910447762,0.4600746268656717,0.5813953488372093,-0.023212426240888553,-0.8121104599980179,35
46,O Farfan,Rocky Mountain Vibes,5.49,0,0,26,0,0,41,48,29,25,21,55,12.07,NA,1.68,NA,NA,NA,2021,pitcher,41,4.609756097560975,NA,10.53658536585366,2.619047619047619,NA,NA,NA,0,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.664179104477612,0.5,0.6194029850746269,0.5,0.664179104477612,0.5611940298507463,0.5774647887323944,0.03533739751944504,0.6160893103989425,45
47,J Pineda,Rocky Mountain Vibes,9.82,0,0,31,0,0,40.333333333333336,69,61,44,24,29,6.47,NA,2.31,NA,NA,NA,2021,pitcher,40.1,5.355371900826446,NA,15.396694214876032,1.2083333333333333,NA,NA,NA,0,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.1791044776119403,0.5,0.14925373134328357,0.5,0.6567164179104478,0.4402985074626866,0.5734597156398104,-0.03423640093371999,-1.0810171298047735,30
48,S Hupp,Great Falls Voyagers,8.1,0,0,18,5,0,40,59,38,36,14,25,5.63,NA,1.82,NA,NA,NA,2021,pitcher,40,3.15,NA,13.275,1.7857142857142858,NA,NA,NA,0.2777777777777778,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.3283582089552239,0.5,0.44029850746268656,0.5,0.6492537313432836,0.49067164179104483,0.5714285714285714,-0.005330490405117239,-0.3759182562530095,35
49,M Geoffrion,Idaho Falls Chukars,10.66,0,0,15,6,0,39.666666666666664,58,50,47,24,35,7.94,NA,2.07,NA,NA,NA,2021,pitcher,39.2,5.445378151260504,NA,13.15966386554622,1.4583333333333333,NA,NA,NA,0.4,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.11940298507462686,0.5,0.23134328358208955,0.5,0.6343283582089553,0.4361940298507463,0.5693779904306221,-0.03632971506105834,-1.1320791239154848,30
49,G Lyttle,Great Falls Voyagers,4.99,0,0,8,7,0,39.666666666666664,37,26,22,18,43,9.76,NA,1.39,NA,NA,NA,2021,pitcher,39.2,4.084033613445379,NA,8.394957983193278,2.388888888888889,NA,NA,NA,0.875,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.753731343283582,0.5,0.8582089552238806,0.5,0.6343283582089553,0.5940298507462687,0.5693779904306221,0.05353852745840179,1.060067582753612,50
51,A Kaufman,Billings Mustangs,7.09,0,0,24,0,0,39.333333333333336,49,42,31,29,28,6.41,NA,1.98,NA,NA,NA,2021,pitcher,39.1,6.635593220338983,NA,11.21186440677966,0.9655172413793104,NA,NA,NA,0,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.43283582089552236,0.5,0.29850746268656714,0.5,0.6268656716417911,0.48880597014925375,0.5673076923076923,-0.006350459242250274,-0.40079825017012793,35
52,D Cornett,Billings Mustangs,5.45,0,0,7,7,0,38,46,33,23,11,32,7.58,NA,1.5,NA,NA,NA,2021,pitcher,38,2.6052631578947367,NA,10.894736842105264,2.909090909090909,NA,NA,NA,1,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.6716417910447762,0.5,0.7611940298507462,0.5,0.6119402985074627,0.5686567164179105,0.5588235294117647,0.03836698858647939,0.6899898106642655,45
52,J Sigman,Ogden Raptors,5.21,0,0,21,3,0,38,40,25,22,19,42,9.95,NA,1.55,NA,NA,NA,2021,pitcher,38,4.5,NA,9.473684210526317,2.210526315789474,NA,NA,NA,0.14285714285714285,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.7164179104477612,0.5,0.7164179104477612,0.5,0.6119402985074627,0.5708955223880597,0.5588235294117647,0.03961808604038632,0.720507700926894,45
54,Y Laureano,Billings Mustangs,11.92,0,0,21,5,0,37,53,52,49,45,33,8.03,NA,2.65,NA,NA,NA,2021,pitcher,37,10.945945945945946,NA,12.891891891891891,0.7333333333333333,NA,NA,NA,0.23809523809523808,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.08955223880597014,0.5,0.05970149253731343,0.5,0.5895522388059702,0.4078358208955224,0.5522388059701493,-0.050896636221875693,-1.4874085189693538,30
54,K Pilot,Billings Mustangs,4.62,0,0,9,8,0,37,32,21,19,27,47,11.43,NA,1.59,NA,NA,NA,2021,pitcher,37,6.5675675675675675,NA,7.783783783783784,1.7407407407407407,NA,NA,NA,0.8888888888888888,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.7910447761194029,0.5,0.6865671641791045,0.5,0.5895522388059702,0.5757462686567164,0.5522388059701493,0.041830028959679216,0.7744633948397683,45
54,T Reynolds,Grand Junction Jackalopes,3.89,0,0,9,5,0,37,36,24,16,10,42,10.22,NA,1.24,NA,NA,NA,2021,pitcher,37,2.4324324324324325,NA,8.756756756756756,4.2,NA,NA,NA,0.5555555555555556,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Starter,TRUE,NA,0.8880597014925373,0.5,0.9477611940298507,0.5,0.5895522388059702,0.6164179104477613,0.5522388059701493,0.06429048785921146,1.3223390361846459,50
57,D Pearce,Ogden Raptors,3.75,0,0,22,2,0,36,32,17,15,17,50,12.5,NA,1.36,NA,NA,NA,2021,pitcher,36,4.25,NA,8,2.9411764705882355,NA,NA,NA,0.09090909090909091,6.796524985640436,-0.4025703618609994,7.199095347501435,NA,Reliever,TRUE,NA,0.9029850746268657,0.5,0.9029850746268657,0.5,0.582089552238806,0.6130597014925374,0.5454545454545454,0.06166892808683858,1.2583916009146285,50
