rk,name,team,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k_9,hr,whip,bf,wp,hbp,season,player_type,ip_raw,bb_9,hr_9,h_9,k_bb,k_pct,bb_pct,k_minus_bb_pct,gs_pct,league_era,league_fip_component,fip_constant,fip
51,S Ordorica,Long Beach Coast,4.11,2,2,41,0,2,46,51,22,21,19,25,4.89,5,1.52,197,2,3,2026,pitcher,46,3.717391304347826,0.9782608695652174,9.978260869565217,1.3157894736842106,0.12690355329949238,0.09644670050761421,0.030456852791878167,0,7.548464236369433,2.4978212349877777,5.050643001381656,6.811512566599047
53,W Rogers,Great Falls Voyagers,5.12,4,2,20,4,3,45.666666666666664,46,29,26,23,57,11.23,7,1.51,213,5,3,2026,pitcher,45.2,4.532846715328468,1.3795620437956204,9.065693430656935,2.4782608695652173,0.2676056338028169,0.107981220657277,0.15962441314553988,0.2,7.548464236369433,2.4978212349877777,5.050643001381656,6.2550225634254515
54,C Martinez,Yuba-Sutter Freebirds,9.2,2,3,12,7,0,45,54,50,46,53,44,8.8,7,2.38,240,6,8,2026,pitcher,45,10.6,1.4,10.8,0.8301886792452831,0.18333333333333332,0.22083333333333333,-0.037500000000000006,0.5833333333333334,7.548464236369433,2.4978212349877777,5.050643001381656,9.18397633471499
55,C Blowers,Oakland Ballers,7.05,0,0,8,8,0,44.666666666666664,52,36,35,20,38,7.66,11,1.61,207,2,5,2026,pitcher,44.2,4.029850746268657,2.2164179104477615,10.477611940298509,1.9,0.18357487922705315,0.0966183574879227,0.08695652173913045,1,7.548464236369433,2.4978212349877777,5.050643001381656,8.229747478993596
55,M O'Brien,Long Beach Coast,4.03,3,2,9,7,0,44.666666666666664,40,20,20,13,28,5.64,3,1.19,191,1,6,2026,pitcher,44.2,2.619402985074627,0.6044776119402986,8.059701492537314,2.1538461538461537,0.14659685863874344,0.06806282722513089,0.07853403141361255,0.7777777777777778,7.548464236369433,2.4978212349877777,5.050643001381656,5.946165389441357
57,G Garza,Missoula PaddleHeads,7.11,4,0,29,1,0,44.333333333333336,58,40,35,26,26,5.28,11,1.89,221,1,1,2026,pitcher,44.1,5.2781954887218046,2.233082706766917,11.774436090225564,1,0.11764705882352941,0.11764705882352941,0,0.034482758620689655,7.548464236369433,2.4978212349877777,5.050643001381656,8.930342249501956
58,P McMan,Ogden Raptors,9.2,3,1,10,10,0,44,69,46,45,21,38,7.77,15,2.05,214,2,2,2026,pitcher,44,4.295454545454546,3.0681818181818183,14.113636363636363,1.8095238095238095,0.17757009345794392,0.09813084112149532,0.0794392523364486,1,7.548464236369433,2.4978212349877777,5.050643001381656,9.323370274108928
58,U Romo,RedPocket Mobiles,8.18,1,2,19,5,0,44,66,50,40,29,25,5.11,7,2.16,227,2,7,2026,pitcher,44,5.931818181818182,1.4318181818181819,13.5,0.8620689655172413,0.11013215859030837,0.1277533039647577,-0.017621145374449337,0.2631578947368421,7.548464236369433,2.4978212349877777,5.050643001381656,8.437006637745291
60,H Mullins,Billings Mustangs,4.95,6,2,30,0,0,43.666666666666664,47,27,24,29,38,7.83,4,1.74,203,3,4,2026,pitcher,43.2,5.977099236641222,0.8244274809160306,9.68702290076336,1.3103448275862069,0.18719211822660098,0.14285714285714285,0.04433497536945813,0,7.548464236369433,2.4978212349877777,5.050643001381656,6.768200253290052
61,H Day,Oakland Ballers,7.68,0,4,10,9,0,43.333333333333336,66,39,37,23,28,5.82,8,2.05,209,1,1,2026,pitcher,43.1,4.776923076923077,1.6615384615384614,13.707692307692307,1.2173913043478262,0.1339712918660287,0.11004784688995216,0.023923444976076555,0.9,7.548464236369433,2.4978212349877777,5.050643001381656,7.819873770612425
62,R Fields,Missoula PaddleHeads,3.59,5,2,13,4,0,42.666666666666664,36,19,17,16,49,10.34,5,1.22,176,1,NA,2026,pitcher,42.2,3.375,1.0546875,7.59375,3.0625,0.2784090909090909,0.09090909090909091,0.18749999999999997,0.3076923076923077,7.548464236369433,2.4978212349877777,5.050643001381656,NA
63,M Pennington,Idaho Falls Chukars,8.29,3,1,8,8,0,42.333333333333336,57,43,39,18,28,5.95,11,1.77,200,3,1,2026,pitcher,42.1,3.826771653543307,2.338582677165354,12.118110236220472,1.5555555555555556,0.14,0.09,0.05000000000000002,1,7.548464236369433,2.4978212349877777,5.050643001381656,8.452217804531262
64,J Ballista,Ogden Raptors,6.75,1,1,12,4,0,41.333333333333336,59,35,31,20,22,4.79,2,1.91,198,4,3,2026,pitcher,41.1,4.354838709677419,0.43548387096774194,12.846774193548386,1.1,0.1111111111111111,0.10101010101010101,0.010101010101010097,0.3333333333333333,7.548464236369433,2.4978212349877777,5.050643001381656,6.284513969123591
64,R Faulks,Long Beach Coast,5.44,2,0,32,0,1,41.333333333333336,44,31,25,23,40,8.71,9,1.62,197,6,6,2026,pitcher,41.1,5.008064516129032,1.9596774193548385,9.580645161290322,1.7391304347826086,0.20304568527918782,0.116751269035533,0.08629441624365482,0,7.548464236369433,2.4978212349877777,5.050643001381656,8.050643001381655
66,S Kelby,Idaho Falls Chukars,6.2,3,1,11,7,0,40.666666666666664,47,39,28,37,22,4.87,4,2.07,206,7,5,2026,pitcher,40.2,8.188524590163935,0.8852459016393444,10.401639344262296,0.5945945945945946,0.10679611650485436,0.1796116504854369,-0.07281553398058253,0.6363636363636364,7.548464236369433,2.4978212349877777,5.050643001381656,8.345724968594771
67,Z Voelker,Long Beach Coast,3.38,2,3,35,0,16,40,28,21,15,27,60,13.5,3,1.38,178,3,2,2026,pitcher,40,6.075,0.675,6.3,2.2222222222222223,0.33707865168539325,0.15168539325842698,0.18539325842696627,0,7.548464236369433,2.4978212349877777,5.050643001381656,5.200643001381656
68,H Orth,Billings Mustangs,9.61,1,2,9,9,0,39.333333333333336,49,48,42,40,31,7.09,5,2.26,205,6,2,2026,pitcher,39.1,9.152542372881355,1.1440677966101693,11.211864406779661,0.775,0.15121951219512195,0.1951219512195122,-0.043902439024390255,1,7.548464236369433,2.4978212349877777,5.050643001381656,8.330304018330807
68,B Wozniak,Long Beach Coast,3.43,3,1,9,7,0,39.333333333333336,39,20,15,13,24,5.49,3,1.32,169,1,1,2026,pitcher,39.1,2.9745762711864403,0.6864406779661016,8.923728813559322,1.8461538461538463,0.14201183431952663,0.07692307692307693,0.0650887573964497,0.7777777777777778,7.548464236369433,2.4978212349877777,5.050643001381656,5.889626052229113
70,R DuSang,Boise Hawks,7.15,5,2,36,0,7,39,44,33,31,31,35,8.08,4,1.92,184,3,4,2026,pitcher,39,7.153846153846154,0.9230769230769231,10.153846153846153,1.1290322580645162,0.19021739130434784,0.16847826086956522,0.021739130434782622,0,7.548464236369433,2.4978212349877777,5.050643001381656,7.2814122321508865
71,A Bustamante,Glacier Range Riders,3.03,2,0,29,0,1,38.666666666666664,41,14,13,19,40,9.31,3,1.55,171,5,3,2026,pitcher,38.2,4.422413793103448,0.6982758620689655,9.543103448275863,2.1052631578947367,0.23391812865497075,0.1111111111111111,0.12280701754385964,0,7.548464236369433,2.4978212349877777,5.050643001381656,5.697194725519587
71,V Cisneros,Oakland Ballers,5.59,5,1,30,0,0,38.666666666666664,38,29,24,34,49,11.41,4,1.86,190,6,3,2026,pitcher,38.2,7.913793103448277,0.9310344827586208,8.844827586206897,1.4411764705882353,0.2578947368421053,0.17894736842105263,0.07894736842105265,0,7.548464236369433,2.4978212349877777,5.050643001381656,6.731677484140277
71,S Murray,Great Falls Voyagers,8.38,3,0,33,0,1,38.666666666666664,50,39,36,29,55,12.8,5,2.04,193,7,1,2026,pitcher,38.2,6.75,1.163793103448276,11.63793103448276,1.896551724137931,0.2849740932642487,0.15025906735751296,0.13471502590673576,0,7.548464236369433,2.4978212349877777,5.050643001381656,6.2144361048299315
71,D Pratt,Glacier Range Riders,8.15,1,5,27,0,1,38.666666666666664,38,37,35,31,62,14.43,4,1.78,188,4,5,2026,pitcher,38.2,7.2155172413793105,0.9310344827586208,8.844827586206897,2,0.32978723404255317,0.16489361702127658,0.16489361702127658,0,7.548464236369433,2.4978212349877777,5.050643001381656,5.981677484140277
75,M Taubensee,Missoula PaddleHeads,3.52,3,1,36,0,6,38.333333333333336,27,20,15,29,63,14.79,3,1.46,171,5,NA,2026,pitcher,38.1,6.808695652173912,0.7043478260869565,6.339130434782608,2.1724137931034484,0.3684210526315789,0.1695906432748538,0.19883040935672514,0,7.548464236369433,2.4978212349877777,5.050643001381656,NA
76,R Inouye,Idaho Falls Chukars,6.27,2,2,28,0,3,37.333333333333336,40,31,26,22,46,11.09,5,1.66,188,3,14,2026,pitcher,37.1,5.303571428571428,1.2053571428571428,9.642857142857142,2.090909090909091,0.24468085106382978,0.11702127659574468,0.1276595744680851,0,7.548464236369433,2.4978212349877777,5.050643001381656,7.220285858524512
76,D McCall,Yuba-Sutter Freebirds,9.64,1,3,16,4,0,37.333333333333336,47,41,40,40,25,6.03,9,2.33,199,2,1,2026,pitcher,37.1,9.642857142857142,2.169642857142857,11.330357142857142,0.625,0.12562814070351758,0.20100502512562815,-0.07537688442211057,0.25,7.548464236369433,2.4978212349877777,5.050643001381656,10.13992871566737
78,E Sepulveda,Great Falls Voyagers,10.16,4,0,29,0,0,36.333333333333336,47,43,41,34,15,3.72,8,2.23,189,2,6,2026,pitcher,36.1,8.422018348623853,1.9816513761467889,11.642201834862384,0.4411764705882353,0.07936507936507936,0.17989417989417988,-0.10052910052910052,0,7.548464236369433,2.4978212349877777,5.050643001381656,10.390092542666059
