"player_name","team","season","pa","ops","ops_plus","woba","iso","hr_rate","bb_rate","k_rate","power_grade","discipline_grade","scout_grade"
"B Capps","Glacier Range Riders",2026,25,1.24190476190476,149,0.51968,0.380952380952381,0.04,0.16,0.04,72.2689486552567,75.4026554163047,80
"Z Stewart","Missoula PaddleHeads",2026,36,1.71581196581197,243,0.679916666666667,0.576923076923077,0.111111111111111,0.25,0.166666666666667,79.6332518337408,69.6513215039087,79.3904037755637
"D Leach","Billings Mustangs",2025,58,1.26724137931034,158,0.525,0.363636363636364,0.0517241379310345,0.189655172413793,0.137931034482759,75.4963325183374,72.4395086238987,79.3510749868904
"R Jepson","Great Falls Voyagers",2022,309,1.18270805865196,160,0.502993527508091,0.251028806584362,0.0388349514563107,0.197411003236246,0.103559870550162,66.1222493887531,76.9028415436158,78.5723649711589
"D Day","Glacier Range Riders",2022,6,2.23333333333333,384,0.909166666666667,0.6,0.166666666666667,0.166666666666667,0.166666666666667,79.7359413202934,66.0478967613848,78.2144729942318
"C Estrada","Idaho Falls Chukars",2022,249,1.23600169910411,170,0.521534136546185,0.298076923076923,0.0522088353413655,0.14859437751004,0.112449799196787,73.2371638141809,70.5186747735451,77.836916622968
"K Figueiredo","Grand Junction Jackalopes",2023,200,1.13484641751805,142,0.481396984924623,0.291390728476821,0.045,0.185,0.135,70.8606356968215,72.5995781114282,77.2941793392763
"L Johnstone","Oakland Ballers",2026,127,1.22244094488189,145,0.506724409448819,0.4,0.078740157480315,0.181102362204724,0.165354330708661,78.7237163814181,67.6485916366795,77.1761929732564
"S Davis","Rocky Mountain Vibes",2021,11,1.32323232323232,234,0.558636363636364,0.333333333333333,0.0909090909090909,0.181818181818182,0.181818181818182,78.0635696821516,64.8082888695868,76.9048243314106
"S Canton","Idaho Falls Chukars",2026,488,1.26851572251077,155,0.528094455852156,0.372549019607843,0.0717213114754098,0.122950819672131,0.104508196721311,78.1222493887531,65.1321503908673,76.4132144729942
"B Rosengard","Idaho Falls Chukars",2025,284,1.27446109216597,161,0.539681978798586,0.253275109170306,0.0352112676056338,0.172535211267606,0.151408450704225,65.0513447432763,69.3944658146172,75.9648662821185
"T Darden","Boise Hawks",2025,452,1.20897240178422,147,0.514524336283186,0.256064690026954,0.0398230088495575,0.150442477876106,0.128318584070796,66.7823960880196,69.163667948877,75.2530152071316
"M Jung-Goldberg","Boise Hawks",2025,447,1.1541822721598,135,0.489298876404494,0.316666666666667,0.058165548098434,0.145413870246085,0.136465324384787,75.158924205379,67.1050998883236,75.0485055060304
"A Fernandes","Glacier Range Riders",2026,131,1.1149136577708,128,0.481169230769231,0.224489795918367,0.0152671755725191,0.229007633587786,0.083969465648855,53.7114914425428,78.9353517806179,75.0367068694284
"V Temesvary","Great Falls Voyagers",2026,408,1.20413786768927,143,0.503501228501229,0.320872274143302,0.053921568627451,0.132352941176471,0.132352941176471,74.5134474327628,64.573768457625,74.9423177766125
"M Warkentin","Ogden Raptors",2022,65,1.27759197324415,180,0.531369230769231,0.369565217391304,0.0615384615384615,0.153846153846154,0.2,77.0660146699267,58.2901104355379,74.7535395909806
"E Lopez","Yuba-Sutter Freebirds",2026,36,1.17063492063492,139,0.495611111111111,0.214285714285714,0.0277777777777778,0.166666666666667,0.0833333333333333,57.2029339853301,75.5962278198288,74.7417409543786
"C Fellows","Modesto Roadsters",2026,145,1.15116995073892,135,0.491565517241379,0.241071428571429,0.0413793103448276,0.186206896551724,0.137931034482759,65.7555012224939,72.1119245563966,74.5608285264814
"B Vradenburg","Glacier Range Riders",2026,272,1.10262221326887,124,0.472981617647059,0.26027397260274,0.0477941176470588,0.1875,0.121323529411765,69.6870415647922,74.4869090457873,74.2855270057682
"T Rogers","Idaho Falls Chukars",2025,460,1.18322170507436,140,0.501193478260869,0.326370757180157,0.0608695652173913,0.132608695652174,0.147826086956522,75.8190709046455,62.4779749348554,74.0534871525957
"J Cunningham","Ogden Raptors",2021,4,1.83333333333333,359,0.69775,1,0.25,0.25,0.5,79.8826405867971,53.4024072465566,73.8843733613005
"R McCarthy","Great Falls Voyagers",2023,103,1.17532174305712,149,0.494203883495146,0.337209302325581,0.058252427184466,0.145631067961165,0.184466019417476,75.9364303178484,59.3473135624767,73.8804404824331
"P Lester","Idaho Falls Chukars",2026,283,1.24221717156614,149,0.520362989323843,0.378151260504202,0.0812720848056537,0.130742049469965,0.169611307420495,78.679706601467,58.5246308474997,73.8489774514945
"R Alexiades","Ogden Raptors",2023,443,1.10464145459043,133,0.465020316027088,0.345205479452055,0.0654627539503386,0.164785553047404,0.182844243792325,77.1833740831296,62.753443355255,73.7663869952805
"Z Almond","Missoula PaddleHeads",2021,355,1.03683921712091,162,0.449428169014084,0.243506493506494,0.0704225352112676,0.132394366197183,0.132394366197183,71.3447432762836,64.5812135500682,73.593340325118
"C Monroe","Idaho Falls Chukars",2024,86,1.13636363636364,136,0.485848837209302,0.287878787878788,0.0465116279069767,0.209302325581395,0.197674418604651,71.0660146699267,63.6356868097779,73.5540115364447
"D Tatum","Oakland Ballers",2025,275,1.1389898989899,131,0.482807272727273,0.346666666666667,0.0836363636363636,0.163636363636364,0.181818181818182,78.1955990220049,62.8837324730115,73.3848977451495
"A Fogel","Missoula PaddleHeads",2024,428,1.26831560855086,161,0.530481308411215,0.385057471264368,0.0817757009345794,0.142523364485981,0.205607476635514,78.7970660146699,55.2711254498077,73.3652333508128
"G Howell","Glacier Range Riders",2022,101,1.11477814448111,145,0.479465346534654,0.271604938271605,0.0495049504950495,0.158415841584158,0.178217821782178,71.1833740831296,62.4854200272987,73.3416360776088
"X Casserilla","Missoula PaddleHeads",2026,458,1.20172566847036,142,0.507929978118162,0.351421188630491,0.0720524017467249,0.111353711790393,0.131004366812227,77.799511002445,59.0011167638665,73.1725222863136
"K Dugan","Grand Junction Jackalopes",2024,277,1.18042519053349,143,0.495859205776173,0.342222222222222,0.0794223826714801,0.133574007220217,0.173285198555957,77.8581907090465,58.3608388137486,73.1174619821709
